,index,Tijd,Type,Klasse,Waarde,ID,Omschrijving,Status,Prioriteit,Tijd came,Tijd went,Tijd ack,Gebr.ID,DPE,seconden
1908,1908,2015-12-06 07:24:09.553,PROCES,,FALSE,,Brug Beweging Actief,,,,,,0.0,DB_A11-Brug-S.Status.BewR,1449386649
1963,1963,2015-12-06 07:22:27.855,PROCES,,TRUE,,Brug Beweging Actief,,,,,,0.0,DB_A11-Brug-S.Status.BewR,1449386547
1970,1970,2015-12-06 07:22:26.839,PROCES,,FALSE,,Algemeen Commando Brug Sluiten,,,,,,0.0,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1449386546
1985,1985,2015-12-06 07:22:24.668,PROCES,,TRUE,,Algemeen Commando Brug Sluiten,,,,,,12.0,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1449386544
2106,2106,2015-12-06 07:20:45.861,PROCES,,FALSE,,Brug Beweging Actief,,,,,,0.0,DB_A11-Brug-S.Status.BewR,1449386445
2167,2167,2015-12-06 07:19:16.855,PROCES,,TRUE,,Brug Beweging Actief,,,,,,0.0,DB_A11-Brug-S.Status.BewR,1449386356
2175,2175,2015-12-06 07:19:15.830,PROCES,,FALSE,,Algemeen Commando Brug Openen,,,,,,0.0,DB_D00-Algemeen-S.CMD.BrugOp.Cmd,1449386355
2186,2186,2015-12-06 07:19:13.646,PROCES,,TRUE,,Algemeen Commando Brug Openen,,,,,,12.0,DB_D00-Algemeen-S.CMD.BrugOp.Cmd,1449386353
4032,4032,2015-12-07 17:17:26.470,PROCES,,FALSE,,Brug Beweging Actief,,,,,,0.0,DB_A11-Brug-S.Status.BewR,1449508646
4097,4097,2015-12-07 17:15:45.775,PROCES,,TRUE,,Brug Beweging Actief,,,,,,0.0,DB_A11-Brug-S.Status.BewR,1449508545
4100,4100,2015-12-07 17:15:44.855,PROCES,,FALSE,,Algemeen Commando Brug Sluiten,,,,,,0.0,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1449508544
4115,4115,2015-12-07 17:15:42.564,PROCES,,TRUE,,Algemeen Commando Brug Sluiten,,,,,,82.0,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1449508542
4239,4239,2015-12-07 17:13:40.467,PROCES,,FALSE,,Brug Beweging Actief,,,,,,0.0,DB_A11-Brug-S.Status.BewR,1449508420
4309,4309,2015-12-07 17:12:11.570,PROCES,,TRUE,,Brug Beweging Actief,,,,,,0.0,DB_A11-Brug-S.Status.BewR,1449508331
4312,4312,2015-12-07 17:12:10.554,PROCES,,FALSE,,Algemeen Commando Brug Openen,,,,,,0.0,DB_D00-Algemeen-S.CMD.BrugOp.Cmd,1449508330
4323,4323,2015-12-07 17:12:08.382,PROCES,,TRUE,,Algemeen Commando Brug Openen,,,,,,82.0,DB_D00-Algemeen-S.CMD.BrugOp.Cmd,1449508328
5072,5072,2015-12-07 16:27:43.069,PROCES,,FALSE,,Brug Beweging Actief,,,,,,0.0,DB_A11-Brug-S.Status.BewR,1449505663
5126,5126,2015-12-07 16:26:01.963,PROCES,,TRUE,,Brug Beweging Actief,,,,,,0.0,DB_A11-Brug-S.Status.BewR,1449505561
5133,5133,2015-12-07 16:26:01.007,PROCES,,FALSE,,Algemeen Commando Brug Sluiten,,,,,,0.0,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1449505561
5148,5148,2015-12-07 16:25:58.777,PROCES,,TRUE,,Algemeen Commando Brug Sluiten,,,,,,77.0,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1449505558
5266,5266,2015-12-07 16:21:15.677,PROCES,,FALSE,,Brug Beweging Actief,,,,,,0.0,DB_A11-Brug-S.Status.BewR,1449505275
5334,5334,2015-12-07 16:19:46.770,PROCES,,TRUE,,Brug Beweging Actief,,,,,,0.0,DB_A11-Brug-S.Status.BewR,1449505186
5342,5342,2015-12-07 16:19:45.848,PROCES,,FALSE,,Algemeen Commando Brug Openen,,,,,,0.0,DB_D00-Algemeen-S.CMD.BrugOp.Cmd,1449505185
5353,5353,2015-12-07 16:19:43.501,PROCES,,TRUE,,Algemeen Commando Brug Openen,,,,,,77.0,DB_D00-Algemeen-S.CMD.BrugOp.Cmd,1449505183
6335,6335,2015-12-07 14:32:14.263,PROCES,,FALSE,,Brug Beweging Actief,,,,,,0.0,DB_A11-Brug-S.Status.BewR,1449498734
6395,6395,2015-12-07 14:30:33.261,PROCES,,TRUE,,Brug Beweging Actief,,,,,,0.0,DB_A11-Brug-S.Status.BewR,1449498633
6397,6397,2015-12-07 14:30:32.250,PROCES,,FALSE,,Algemeen Commando Brug Sluiten,,,,,,0.0,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1449498632
6412,6412,2015-12-07 14:30:30.090,PROCES,,TRUE,,Algemeen Commando Brug Sluiten,,,,,,77.0,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1449498630
