,duur,beweging,time,WR,Wk,uur,N,NO,O,ZO,Z,ZW,W,NW
0,51,False,2015-12-02 10:33:47.383,340.0,0.23871526122093,10,1,0,0,0,0,0,0,0
1,51,True,2015-12-02 10:36:31.285,267.0,1.2586804628372,10,0,0,0,0,0,0,1,0
2,51,False,2015-12-02 12:56:44.680,118.0,0.60763883590698,12,0,0,0,1,0,0,0,0
3,51,True,2015-12-02 13:01:22.467,225.0,1.4322916269302,13,0,0,0,0,0,1,0,0
4,51,False,2015-12-02 13:59:34.863,221.0,1.8446179628372,13,0,0,0,0,0,1,0,0
5,51,True,2015-12-02 14:02:17.685,235.0,1.974826335907,14,0,0,0,0,0,1,0,0
6,51,False,2015-12-02 14:12:17.657,150.0,3.363715171814,14,0,0,0,1,0,0,0,0
7,51,True,2015-12-02 14:17:20.077,215.0,2.0399305820465,14,0,0,0,0,0,1,0,0
8,51,False,2015-12-02 15:27:41.079,217.0,3.754340171814,15,0,0,0,0,0,1,0,0
9,51,True,2015-12-02 15:29:43.281,238.0,2.1484375,15,0,0,0,0,0,1,0,0
10,51,False,2015-12-02 15:44:14.085,175.0,2.170138835907,15,0,0,0,0,1,0,0,0
11,51,True,2015-12-02 15:46:16.276,211.0,1.193576335907,15,0,0,0,0,0,1,0,0
12,51,False,2015-12-03 05:45:55.672,242.0,0.88975691795349,5,0,0,0,0,0,1,0,0
13,51,True,2015-12-03 05:48:19.585,257.0,0.34722220897675,5,0,0,0,0,0,0,1,0
14,51,False,2015-12-03 08:45:49.262,149.0,1.5625,8,0,0,0,1,0,0,0,0
15,51,True,2015-12-03 08:47:56.364,259.0,3.2986109256744,8,0,0,0,0,0,0,1,0
16,51,False,2015-12-03 13:02:42.171,197.0,4.6440968513489,13,0,0,0,0,1,0,0,0
17,51,True,2015-12-03 13:05:12.778,211.0,3.3854165077209,13,0,0,0,0,0,1,0,0
18,51,False,2015-12-04 07:08:17.885,222.0,7.052951335907,7,0,0,0,0,0,1,0,0
19,51,True,2015-12-04 07:10:37.170,246.0,5.859375,7,0,0,0,0,0,1,0,0
20,51,False,2015-12-04 14:43:00.585,211.0,3.4939234256744,14,0,0,0,0,0,1,0,0
21,51,True,2015-12-04 14:45:32.175,224.0,3.6024303436279,14,0,0,0,0,0,1,0,0
22,50,False,2015-12-07 18:13:35.076,133.0,2.973090171814,18,0,0,0,1,0,0,0,0
23,51,True,2015-12-07 18:16:33.479,131.0,2.4739582538605,18,0,0,0,1,0,0,0,0
24,51,False,2015-12-07 18:50:11.384,131.0,2.734375,18,0,0,0,1,0,0,0,0
25,51,True,2015-12-07 18:53:29.580,129.0,2.973090171814,18,0,0,0,1,0,0,0,0
26,50,False,2015-12-07 20:04:49.073,148.0,0.36892360448837,20,0,0,0,1,0,0,0,0
27,51,True,2015-12-07 20:08:22.292,183.0,2.191840171814,20,0,0,0,0,1,0,0,0
28,51,False,2015-12-08 08:26:49.779,169.0,1.6276041269302,8,0,0,0,0,1,0,0,0
29,51,True,2015-12-08 08:29:05.485,147.0,2.8862845897675,8,0,0,0,1,0,0,0,0
