,duur,beweging,time,WR,Wk,WRbin,WKbin
0,51,False,2015-12-02 10:33:47.383,340.0,0.23871526122093,0,1
2,51,False,2015-12-02 12:56:44.680,118.0,0.60763883590698,3,1
4,51,False,2015-12-02 13:59:34.863,221.0,1.8446179628372,5,2
6,51,False,2015-12-02 14:12:17.657,150.0,3.363715171814,3,3
8,51,False,2015-12-02 15:27:41.079,217.0,3.754340171814,5,3
10,51,False,2015-12-02 15:44:14.085,175.0,2.170138835907,4,2
12,51,False,2015-12-03 05:45:55.672,242.0,0.88975691795349,5,1
14,51,False,2015-12-03 08:45:49.262,149.0,1.5625,3,2
16,51,False,2015-12-03 13:02:42.171,197.0,4.6440968513489,4,3
18,51,False,2015-12-04 07:08:17.885,222.0,7.052951335907,5,4
20,51,False,2015-12-04 14:43:00.585,211.0,3.4939234256744,5,3
22,50,False,2015-12-07 18:13:35.076,133.0,2.973090171814,3,2
24,51,False,2015-12-07 18:50:11.384,131.0,2.734375,3,2
26,50,False,2015-12-07 20:04:49.073,148.0,0.36892360448837,3,1
28,51,False,2015-12-08 08:26:49.779,169.0,1.6276041269302,4,2
30,51,False,2015-12-08 10:20:14.977,173.0,2.0182290077209,4,2
32,51,False,2015-12-08 14:15:27.583,170.0,3.1901040077209,4,2
34,51,False,2015-12-08 14:26:37.462,137.0,1.996527671814,3,2
36,51,False,2015-12-08 16:24:14.672,89.0,1.801215171814,2,2
38,50,False,2015-12-08 21:01:25.088,269.0,0.86805552244186,6,1
40,51,False,2015-12-09 06:47:17.267,221.0,2.0833332538605,5,2
42,51,False,2015-12-09 08:13:24.573,235.0,1.3020832538605,5,1
44,51,False,2015-12-09 08:35:36.876,201.0,0.75954860448837,4,1
46,51,False,2015-12-09 14:32:54.679,230.0,3.1032984256744,5,2
48,51,False,2015-12-10 08:00:14.469,313.0,1.974826335907,7,2
50,51,False,2015-12-10 08:42:36.962,162.0,0.34722220897675,4,1
52,51,False,2015-12-10 09:25:41.270,200.0,1.1067707538605,4,1
54,51,False,2015-12-10 10:29:59.577,238.0,6.467013835907,5,4
56,51,False,2015-12-10 11:43:20.485,115.0,1.193576335907,3,1
58,51,False,2015-12-10 12:20:52.980,139.0,0.30381941795349,3,1
60,51,False,2015-12-10 17:41:44.684,285.0,0.78125,6,1
62,51,False,2015-12-11 10:08:11.173,230.0,2.9296875,5,2
64,51,False,2015-12-11 13:03:40.274,223.0,3.6675345897675,5,3
66,51,False,2015-12-14 10:13:28.970,335.0,1.2803819179535,7,1
68,50,False,2015-12-14 11:10:36.082,119.0,3.0815970897675,3,2
70,51,False,2015-12-14 13:22:31.471,175.0,1.8663194179535,4,2
72,51,False,2015-12-14 13:32:21.886,121.0,0.91145831346512,3,1
74,51,False,2015-12-14 15:10:07.782,248.0,0.82465273141861,6,1
76,51,False,2015-12-14 19:09:07.871,135.0,1.0850694179535,3,1
78,51,False,2015-12-15 07:49:00.259,40.0,0.34722220897675,1,1
80,51,False,2015-12-15 09:48:20.575,89.0,1.1067707538605,2,1
82,50,False,2015-12-15 11:45:46.175,217.0,0.73784720897675,5,1
84,50,False,2015-12-15 14:33:23.071,125.0,0.52083331346512,3,1
86,52,False,2015-12-16 07:00:20.374,212.0,2.365451335907,5,2
88,51,False,2015-12-16 07:53:06.678,270.0,1.1501735448837,6,1
90,51,False,2015-12-16 08:43:57.571,207.0,1.801215171814,5,2
92,51,False,2015-12-16 09:41:00.685,130.0,0.32552081346512,3,1
94,51,False,2015-12-16 10:24:33.675,148.0,0.62934023141861,3,1
96,51,False,2015-12-16 14:26:06.778,249.0,0.91145831346512,6,1
98,51,False,2015-12-16 16:16:08.874,219.0,2.0182290077209,5,2
100,51,False,2015-12-17 09:57:39.288,142.0,0.17361110448837,3,0
102,51,False,2015-12-17 12:42:37.777,109.0,1.9097220897675,2,2
104,51,False,2015-12-17 14:53:56.966,7.0,0.34722220897675,0,1
106,52,False,2015-12-17 17:23:53.973,62.0,1.9314235448837,1,2
108,52,False,2015-12-18 06:13:38.766,241.0,3.537326335907,5,3
110,51,False,2015-12-18 08:38:15.167,246.0,3.4505207538605,5,3
112,51,False,2015-12-18 12:33:02.185,198.0,1.3237847089767,4,1
