,duur,beweging,time,WR,Wk,WRbin,WKbin
0,86,False,2015-12-02 11:12:01.516,257.0,1.9097220897675,6,2
2,83,False,2015-12-02 13:06:14.622,200.0,1.9531248807907,4,2
6,83,False,2015-12-02 15:13:16.319,272.0,2.6475694179535,6,2
8,83,False,2015-12-02 16:16:48.336,237.0,1.9097220897675,5,2
10,87,False,2015-12-03 06:32:59.133,179.0,0.93315970897675,4,1
12,86,False,2015-12-03 09:18:49.123,137.0,1.8229166269302,3,2
14,83,False,2015-12-03 13:39:26.420,146.0,0.4123263657093,3,1
16,89,False,2015-12-04 06:37:25.135,235.0,1.6927082538605,5,2
18,85,False,2015-12-04 15:37:14.024,204.0,6.1414928436279,5,4
20,84,False,2015-12-07 18:01:13.231,164.0,1.9531248807907,4,2
22,85,False,2015-12-07 19:10:15.023,123.0,1.0416666269302,3,1
24,86,False,2015-12-07 20:59:59.327,146.0,1.3671875,3,1
26,89,False,2015-12-08 09:00:35.524,124.0,3.4939234256744,3,3
28,87,False,2015-12-08 09:48:56.131,127.0,1.3020832538605,3,1
30,86,False,2015-12-08 13:30:58.921,163.0,1.974826335907,4,2
32,84,False,2015-12-08 17:15:37.620,244.0,0.34722220897675,5,1
34,85,False,2015-12-08 21:49:57.338,224.0,4.904513835907,5,3
36,90,False,2015-12-09 07:37:05.732,221.0,1.6927082538605,5,2
38,89,False,2015-12-09 09:06:58.341,229.0,1.7578123807907,5,2
40,85,False,2015-12-09 13:57:32.924,230.0,3.2552082538605,5,2
42,93,False,2015-12-10 08:35:31.617,172.0,2.0399305820465,4,2
44,93,False,2015-12-10 09:01:22.724,143.0,1.0850694179535,3,1
46,91,False,2015-12-10 09:15:06.532,213.0,0.73784720897675,5,1
48,91,False,2015-12-10 11:02:34.323,162.0,6.6189231872559,4,4
50,90,False,2015-12-10 11:46:26.431,160.0,3.8194441795349,4,3
52,88,False,2015-12-10 12:16:12.136,158.0,4.123263835907,4,3
54,89,False,2015-12-10 16:49:58.339,117.0,2.8862845897675,3,2
56,92,False,2015-12-11 11:03:06.424,271.0,1.4322916269302,6,1
58,91,False,2015-12-11 12:25:42.723,272.0,0.71614581346512,6,1
60,90,False,2015-12-14 09:38:45.627,97.0,1.6276041269302,2,2
62,88,False,2015-12-14 11:46:13.020,178.0,3.8845484256744,4,3
64,87,False,2015-12-14 12:38:00.135,139.0,2.4522569179535,3,2
66,87,False,2015-12-14 13:57:58.036,269.0,3.2986109256744,6,2
68,87,False,2015-12-14 14:38:48.632,226.0,2.5390625,5,2
70,87,False,2015-12-14 18:34:02.832,165.0,1.0199652910233,4,1
72,91,False,2015-12-15 08:23:41.127,149.0,0.28211805224419,3,1
74,90,False,2015-12-15 10:25:11.733,135.0,1.5190972089767,3,2
76,69,False,2015-12-15 10:33:44.720,175.0,0.67274302244186,4,1
77,33,False,2015-12-15 10:34:54.326,175.0,0.67274302244186,4,1
79,87,False,2015-12-15 12:21:36.628,136.0,3.8845484256744,3,3
81,87,False,2015-12-15 15:10:47.729,115.0,1.3020832538605,3,1
83,88,False,2015-12-16 07:32:18.432,230.0,1.7578123807907,5,2
85,89,False,2015-12-16 08:44:25.623,156.0,1.3237847089767,3,1
87,86,False,2015-12-16 09:06:01.835,159.0,1.0850694179535,4,1
89,86,False,2015-12-16 09:41:17.523,339.0,1.1067707538605,0,1
91,85,False,2015-12-16 11:21:48.721,241.0,1.5190972089767,5,2
93,84,False,2015-12-16 13:47:18.027,250.0,1.7361110448837,6,2
95,85,False,2015-12-16 17:01:15.920,206.0,2.4739582538605,5,2
99,82,False,2015-12-17 13:13:57.622,215.0,1.6710069179535,5,2
101,80,False,2015-12-17 14:01:25.020,135.0,4.1883678436279,3,3
103,82,False,2015-12-17 16:48:12.737,31.0,0.28211805224419,1,1
105,83,False,2015-12-18 07:10:47.117,220.0,3.732638835907,5,3
107,83,False,2015-12-18 09:11:56.327,210.0,0.21701388061047,5,1
109,83,False,2015-12-18 11:56:06.622,241.0,2.365451335907,5,2
113,84,False,2015-12-19 08:27:43.918,146.0,0.91145831346512,3,1
115,83,False,2015-12-19 11:48:04.616,143.0,1.5407985448837,3,2
117,85,False,2015-12-21 06:44:39.823,206.0,4.6006941795349,5,3
119,83,False,2015-12-21 07:05:11.016,191.0,4.8611106872559,4,3
121,83,False,2015-12-21 12:23:31.024,237.0,2.582465171814,5,2
123,83,False,2015-12-21 13:20:10.224,142.0,1.5625,3,2
125,85,False,2015-12-21 17:41:49.625,274.0,2.0833332538605,6,2
127,84,False,2015-12-22 07:14:51.522,278.0,0.06510416418314,6,0
129,84,False,2015-12-22 09:25:11.936,338.0,2.756076335907,0,2
131,85,False,2015-12-22 10:23:29.717,220.0,0.54253470897675,5,1
133,83,False,2015-12-22 11:26:55.823,185.0,2.4956595897675,4,2
135,81,False,2015-12-22 15:07:44.225,234.0,4.3836803436279,5,3
137,84,False,2015-12-23 09:38:11.826,216.0,5.078125,5,3
139,82,False,2015-12-23 13:21:50.727,246.0,6.4019093513489,5,4
141,83,False,2015-12-23 14:52:07.834,220.0,3.5156247615814,5,3
143,90,False,2015-12-28 06:55:59.622,104.0,0.84635412693024,2,1
145,89,False,2015-12-28 07:57:44.125,121.0,1.2586804628372,3,1
147,88,False,2015-12-28 17:39:34.623,139.0,2.2786457538605,3,2
149,89,False,2015-12-29 12:15:59.034,266.0,1.4322916269302,6,1
151,88,False,2015-12-29 12:55:32.118,193.0,0.75954860448837,4,1
