,duur,beweging,time,WR,Wk,uur,N,NO,O,ZO,Z,ZW,W,NW
0,74,False,2015-12-15 14:59:54.618,301.0,1.1284722089767,14,0,0,0,0,0,0,0,1
1,85,True,2015-12-15 15:02:36.424,147.0,0.73784720897675,15,0,0,0,1,0,0,0,0
2,74,False,2015-12-15 17:57:38.221,133.0,1.0199652910233,17,0,0,0,1,0,0,0,0
3,84,True,2015-12-15 18:00:32.621,121.0,1.801215171814,18,0,0,0,1,0,0,0,0
4,74,False,2015-12-15 20:48:29.404,132.0,1.8880207538605,20,0,0,0,1,0,0,0,0
5,86,True,2015-12-15 20:50:58.998,104.0,2.4739582538605,20,0,0,1,0,0,0,0,0
6,75,False,2015-12-16 07:16:23.793,256.0,2.4305553436279,7,0,0,0,0,0,0,1,0
7,86,True,2015-12-16 07:18:36.697,172.0,0.84635412693024,7,0,0,0,0,1,0,0,0
8,75,False,2015-12-16 09:40:30.884,196.0,3.125,9,0,0,0,0,1,0,0,0
9,85,True,2015-12-16 09:44:14.088,128.0,1.388888835907,9,0,0,0,1,0,0,0,0
10,75,False,2015-12-16 10:07:10.490,105.0,0.086805552244186,10,0,0,1,0,0,0,0,0
11,85,True,2015-12-16 10:10:10.888,154.0,1.8229166269302,10,0,0,0,1,0,0,0,0
12,75,False,2015-12-16 10:37:25.888,222.0,0.45572915673256,10,0,0,0,0,0,1,0,0
13,85,True,2015-12-16 10:39:22.290,22.0,0.99826383590698,10,1,0,0,0,0,0,0,0
14,74,False,2015-12-16 14:54:55.285,224.0,2.1484375,14,0,0,0,0,0,1,0,0
15,86,True,2015-12-16 14:56:49.989,235.0,2.1484375,14,0,0,0,0,0,1,0,0
16,74,False,2015-12-16 15:40:20.683,191.0,1.6710069179535,15,0,0,0,0,1,0,0,0
17,85,True,2015-12-16 15:43:31.988,179.0,1.2586804628372,15,0,0,0,0,1,0,0,0
18,75,False,2015-12-16 19:45:04.685,240.0,2.387152671814,19,0,0,0,0,0,1,0,0
19,85,True,2015-12-16 19:47:16.592,262.0,3.6675345897675,19,0,0,0,0,0,0,1,0
20,75,False,2015-12-16 20:35:18.990,225.0,4.6223955154419,20,0,0,0,0,0,1,0,0
21,83,True,2015-12-16 20:37:38.088,245.0,3.0381944179535,20,0,0,0,0,0,1,0,0
22,74,False,2015-12-17 01:04:37.685,228.0,0.73784720897675,1,0,0,0,0,0,1,0,0
23,83,True,2015-12-17 01:07:38.079,210.0,1.7144097089767,1,0,0,0,0,0,1,0,0
24,75,False,2015-12-17 06:09:36.881,263.0,1.4539929628372,6,0,0,0,0,0,0,1,0
25,84,True,2015-12-17 06:11:50.383,223.0,1.0199652910233,6,0,0,0,0,0,1,0,0
26,74,False,2015-12-17 07:48:41.586,247.0,0.32552081346512,7,0,0,0,0,0,1,0,0
27,84,True,2015-12-17 07:50:11.387,169.0,0.60763883590698,7,0,0,0,0,1,0,0,0
28,74,False,2015-12-17 10:01:51.380,274.0,1.4973957538605,10,0,0,0,0,0,0,1,0
29,85,True,2015-12-17 10:04:16.608,335.0,2.4739582538605,10,0,0,0,0,0,0,0,1
30,74,False,2015-12-17 17:17:47.191,128.0,0.34722220897675,17,0,0,0,1,0,0,0,0
31,85,True,2015-12-17 17:21:51.308,10.0,1.1284722089767,17,1,0,0,0,0,0,0,0
32,74,False,2015-12-17 17:58:07.402,101.0,0.36892360448837,17,0,0,1,0,0,0,0,0
33,84,True,2015-12-17 18:00:42.703,295.0,1.5625,18,0,0,0,0,0,0,0,1
34,74,False,2015-12-17 20:55:24.183,121.0,1.3237847089767,20,0,0,0,1,0,0,0,0
35,85,True,2015-12-17 20:58:11.581,133.0,0.67274302244186,20,0,0,0,1,0,0,0,0
36,75,False,2015-12-18 01:22:03.988,191.0,2.1484375,1,0,0,0,0,1,0,0,0
37,85,True,2015-12-18 01:24:27.689,225.0,3.4722220897675,1,0,0,0,0,0,1,0,0
38,74,False,2015-12-18 07:54:28.386,231.0,1.7144097089767,7,0,0,0,0,0,1,0,0
39,85,True,2015-12-18 07:57:00.985,220.0,2.5390625,7,0,0,0,0,0,1,0,0
40,74,False,2015-12-18 10:55:13.982,208.0,2.8645832538605,10,0,0,0,0,0,1,0,0
41,85,True,2015-12-18 10:57:23.485,224.0,1.801215171814,10,0,0,0,0,0,1,0,0
42,74,False,2015-12-18 12:57:59.006,209.0,1.974826335907,12,0,0,0,0,0,1,0,0
43,84,True,2015-12-18 12:59:45.701,313.0,3.0598957538605,12,0,0,0,0,0,0,0,1
44,74,False,2015-12-19 09:46:38.503,13.0,1.9097220897675,9,1,0,0,0,0,0,0,0
45,84,True,2015-12-19 09:49:20.002,289.0,1.0199652910233,9,0,0,0,0,0,0,1,0
46,74,False,2015-12-19 10:26:38.200,193.0,0.71614581346512,10,0,0,0,0,1,0,0,0
47,85,True,2015-12-19 10:30:11.207,255.0,0.82465273141861,10,0,0,0,0,0,0,1,0
48,74,False,2015-12-20 16:50:03.706,148.0,0.99826383590698,16,0,0,0,1,0,0,0,0
49,85,True,2015-12-20 16:53:20.208,111.0,0.95486104488373,16,0,0,1,0,0,0,0,0
50,75,False,2015-12-21 05:25:58.785,225.0,3.8411457538605,5,0,0,0,0,0,1,0,0
51,85,True,2015-12-21 05:30:05.490,183.0,1.6710069179535,5,0,0,0,0,1,0,0,0
52,74,False,2015-12-21 08:52:46.300,231.0,3.9713540077209,8,0,0,0,0,0,1,0,0
53,87,True,2015-12-21 08:54:33.605,250.0,1.4539929628372,8,0,0,0,0,0,0,1,0
54,74,False,2015-12-21 10:58:19.205,242.0,3.559027671814,10,0,0,0,0,0,1,0,0
55,84,True,2015-12-21 11:00:58.003,215.0,3.1032984256744,11,0,0,0,0,0,1,0,0
56,74,False,2015-12-21 11:50:37.404,221.0,2.2569444179535,11,0,0,0,0,0,1,0,0
57,84,True,2015-12-21 11:53:18.404,267.0,3.168402671814,11,0,0,0,0,0,0,1,0
58,75,False,2015-12-21 16:58:39.890,237.0,2.6041665077209,16,0,0,0,0,0,1,0,0
59,85,True,2015-12-21 17:00:42.893,259.0,2.951388835907,17,0,0,0,0,0,0,1,0
60,74,False,2015-12-21 19:49:54.086,218.0,5.121527671814,19,0,0,0,0,0,1,0,0
61,84,True,2015-12-21 19:51:52.489,218.0,5.2300343513489,19,0,0,0,0,0,1,0,0
62,74,False,2015-12-21 20:39:04.988,199.0,2.0833332538605,20,0,0,0,0,1,0,0,0
63,84,True,2015-12-21 20:41:55.093,234.0,5.2300343513489,20,0,0,0,0,0,1,0,0
64,75,False,2015-12-22 00:28:34.682,237.0,3.8194441795349,0,0,0,0,0,0,1,0,0
65,84,True,2015-12-22 00:32:05.783,257.0,2.5173609256744,0,0,0,0,0,0,0,1,0
66,74,False,2015-12-22 08:01:16.304,107.0,2.4739582538605,8,0,0,1,0,0,0,0,0
67,85,True,2015-12-22 08:03:55.001,58.0,0.75954860448837,8,0,1,0,0,0,0,0,0
68,74,False,2015-12-22 08:36:14.711,222.0,5.121527671814,8,0,0,0,0,0,1,0,0
69,84,True,2015-12-22 08:40:43.079,218.0,2.6475694179535,8,0,0,0,0,0,1,0,0
70,75,False,2015-12-22 09:39:39.889,236.0,5.2083330154419,9,0,0,0,0,0,1,0,0
71,83,True,2015-12-22 09:42:22.088,249.0,5.7942705154419,9,0,0,0,0,0,0,1,0
72,75,False,2015-12-22 11:31:05.791,164.0,4.1883678436279,11,0,0,0,0,1,0,0,0
73,85,True,2015-12-22 11:33:44.681,210.0,5.490451335907,11,0,0,0,0,0,1,0,0
74,74,False,2015-12-22 18:30:36.102,210.0,2.3003470897675,18,0,0,0,0,0,1,0,0
76,92,True,2015-12-22 18:36:16.004,215.0,2.34375,18,0,0,0,0,0,1,0,0
79,75,False,2015-12-22 21:57:28.811,215.0,2.1484375,21,0,0,0,0,0,1,0,0
80,84,True,2015-12-22 22:00:36.301,242.0,3.168402671814,22,0,0,0,0,0,1,0,0
81,75,False,2015-12-23 07:52:51.408,212.0,4.123263835907,7,0,0,0,0,0,1,0,0
82,85,True,2015-12-23 07:55:17.199,238.0,3.9062497615814,7,0,0,0,0,0,1,0,0
83,75,False,2015-12-23 10:43:58.405,203.0,1.7361110448837,10,0,0,0,0,0,1,0,0
84,85,True,2015-12-23 10:46:18.799,242.0,4.6875,10,0,0,0,0,0,1,0,0
85,74,False,2015-12-23 13:45:17.082,217.0,4.318576335907,13,0,0,0,0,0,1,0,0
86,85,True,2015-12-23 13:48:03.482,251.0,3.732638835907,13,0,0,0,0,0,0,1,0
87,75,False,2015-12-23 14:24:06.482,240.0,3.8845484256744,14,0,0,0,0,0,1,0,0
88,84,True,2015-12-23 14:26:12.678,254.0,3.7760415077209,14,0,0,0,0,0,0,1,0
89,75,False,2015-12-23 20:58:42.855,316.0,0.17361110448837,20,0,0,0,0,0,0,0,1
90,83,True,2015-12-23 21:00:59.270,164.0,1.7144097089767,21,0,0,0,0,1,0,0,0
91,74,False,2015-12-24 07:12:57.278,156.0,2.3220484256744,7,0,0,0,1,0,0,0,0
92,85,True,2015-12-24 07:15:25.567,174.0,3.2118053436279,7,0,0,0,0,1,0,0,0
93,74,False,2015-12-24 10:56:53.167,145.0,3.3854165077209,10,0,0,0,1,0,0,0,0
94,85,True,2015-12-24 10:59:17.771,282.0,0.84635412693024,10,0,0,0,0,0,0,1,0
95,74,False,2015-12-27 12:44:43.065,245.0,4.470486164093,12,0,0,0,0,0,1,0,0
96,85,True,2015-12-27 12:46:02.562,245.0,3.559027671814,12,0,0,0,0,0,1,0,0
97,75,False,2015-12-27 13:18:27.964,232.0,4.275173664093,13,0,0,0,0,0,1,0,0
98,86,True,2015-12-27 13:21:18.668,248.0,3.125,13,0,0,0,0,0,0,1,0
99,74,False,2015-12-27 15:19:55.471,227.0,3.7109372615814,15,0,0,0,0,0,1,0,0
