,duur,beweging,time,WR,Wk,uur,WRbin,WKbin
0,74,False,2015-12-15 14:59:54.618,301.0,1.1284722089767,14,7,1
2,74,False,2015-12-15 17:57:38.221,133.0,1.0199652910233,17,3,1
4,74,False,2015-12-15 20:48:29.404,132.0,1.8880207538605,20,3,2
6,75,False,2015-12-16 07:16:23.793,256.0,2.4305553436279,7,6,2
8,75,False,2015-12-16 09:40:30.884,196.0,3.125,9,4,2
10,75,False,2015-12-16 10:07:10.490,105.0,0.086805552244186,10,2,0
12,75,False,2015-12-16 10:37:25.888,222.0,0.45572915673256,10,5,1
14,74,False,2015-12-16 14:54:55.285,224.0,2.1484375,14,5,2
16,74,False,2015-12-16 15:40:20.683,191.0,1.6710069179535,15,4,2
18,75,False,2015-12-16 19:45:04.685,240.0,2.387152671814,19,5,2
20,75,False,2015-12-16 20:35:18.990,225.0,4.6223955154419,20,5,3
22,74,False,2015-12-17 01:04:37.685,228.0,0.73784720897675,1,5,1
24,75,False,2015-12-17 06:09:36.881,263.0,1.4539929628372,6,6,1
26,74,False,2015-12-17 07:48:41.586,247.0,0.32552081346512,7,5,1
28,74,False,2015-12-17 10:01:51.380,274.0,1.4973957538605,10,6,1
30,74,False,2015-12-17 17:17:47.191,128.0,0.34722220897675,17,3,1
32,74,False,2015-12-17 17:58:07.402,101.0,0.36892360448837,17,2,1
34,74,False,2015-12-17 20:55:24.183,121.0,1.3237847089767,20,3,1
36,75,False,2015-12-18 01:22:03.988,191.0,2.1484375,1,4,2
38,74,False,2015-12-18 07:54:28.386,231.0,1.7144097089767,7,5,2
40,74,False,2015-12-18 10:55:13.982,208.0,2.8645832538605,10,5,2
42,74,False,2015-12-18 12:57:59.006,209.0,1.974826335907,12,5,2
44,74,False,2015-12-19 09:46:38.503,13.0,1.9097220897675,9,0,2
46,74,False,2015-12-19 10:26:38.200,193.0,0.71614581346512,10,4,1
48,74,False,2015-12-20 16:50:03.706,148.0,0.99826383590698,16,3,1
50,75,False,2015-12-21 05:25:58.785,225.0,3.8411457538605,5,5,3
52,74,False,2015-12-21 08:52:46.300,231.0,3.9713540077209,8,5,3
54,74,False,2015-12-21 10:58:19.205,242.0,3.559027671814,10,5,3
56,74,False,2015-12-21 11:50:37.404,221.0,2.2569444179535,11,5,2
58,75,False,2015-12-21 16:58:39.890,237.0,2.6041665077209,16,5,2
60,74,False,2015-12-21 19:49:54.086,218.0,5.121527671814,19,5,3
62,74,False,2015-12-21 20:39:04.988,199.0,2.0833332538605,20,4,2
64,75,False,2015-12-22 00:28:34.682,237.0,3.8194441795349,0,5,3
66,74,False,2015-12-22 08:01:16.304,107.0,2.4739582538605,8,2,2
68,74,False,2015-12-22 08:36:14.711,222.0,5.121527671814,8,5,3
70,75,False,2015-12-22 09:39:39.889,236.0,5.2083330154419,9,5,3
72,75,False,2015-12-22 11:31:05.791,164.0,4.1883678436279,11,4,3
74,74,False,2015-12-22 18:30:36.102,210.0,2.3003470897675,18,5,2
79,75,False,2015-12-22 21:57:28.811,215.0,2.1484375,21,5,2
81,75,False,2015-12-23 07:52:51.408,212.0,4.123263835907,7,5,3
83,75,False,2015-12-23 10:43:58.405,203.0,1.7361110448837,10,5,2
85,74,False,2015-12-23 13:45:17.082,217.0,4.318576335907,13,5,3
87,75,False,2015-12-23 14:24:06.482,240.0,3.8845484256744,14,5,3
89,75,False,2015-12-23 20:58:42.855,316.0,0.17361110448837,20,7,0
91,74,False,2015-12-24 07:12:57.278,156.0,2.3220484256744,7,3,2
93,74,False,2015-12-24 10:56:53.167,145.0,3.3854165077209,10,3,3
95,74,False,2015-12-27 12:44:43.065,245.0,4.470486164093,12,5,3
97,75,False,2015-12-27 13:18:27.964,232.0,4.275173664093,13,5,3
99,74,False,2015-12-27 15:19:55.471,227.0,3.7109372615814,15,5,3
101,73,False,2015-12-27 17:10:25.057,228.0,2.8862845897675,17,5,2
103,74,False,2015-12-28 22:42:27.278,164.0,3.125,22,4,2
105,74,False,2015-12-29 07:00:07.765,154.0,0.49913191795349,7,3,1
107,74,False,2015-12-29 09:21:08.264,11.0,1.605902671814,9,0,2
109,75,False,2015-12-29 10:53:37.582,248.0,1.1501735448837,10,6,1
