,duur,beweging,time,WR,Wk,uur,WRbin,WKbin
1,85,True,2015-12-15 15:02:36.424,147.0,0.73784720897675,15,3,1
3,84,True,2015-12-15 18:00:32.621,121.0,1.801215171814,18,3,2
5,86,True,2015-12-15 20:50:58.998,104.0,2.4739582538605,20,2,2
7,86,True,2015-12-16 07:18:36.697,172.0,0.84635412693024,7,4,1
9,85,True,2015-12-16 09:44:14.088,128.0,1.388888835907,9,3,1
11,85,True,2015-12-16 10:10:10.888,154.0,1.8229166269302,10,3,2
13,85,True,2015-12-16 10:39:22.290,22.0,0.99826383590698,10,0,1
15,86,True,2015-12-16 14:56:49.989,235.0,2.1484375,14,5,2
17,85,True,2015-12-16 15:43:31.988,179.0,1.2586804628372,15,4,1
19,85,True,2015-12-16 19:47:16.592,262.0,3.6675345897675,19,6,3
21,83,True,2015-12-16 20:37:38.088,245.0,3.0381944179535,20,5,2
23,83,True,2015-12-17 01:07:38.079,210.0,1.7144097089767,1,5,2
25,84,True,2015-12-17 06:11:50.383,223.0,1.0199652910233,6,5,1
27,84,True,2015-12-17 07:50:11.387,169.0,0.60763883590698,7,4,1
29,85,True,2015-12-17 10:04:16.608,335.0,2.4739582538605,10,7,2
31,85,True,2015-12-17 17:21:51.308,10.0,1.1284722089767,17,0,1
33,84,True,2015-12-17 18:00:42.703,295.0,1.5625,18,7,2
35,85,True,2015-12-17 20:58:11.581,133.0,0.67274302244186,20,3,1
37,85,True,2015-12-18 01:24:27.689,225.0,3.4722220897675,1,5,3
39,85,True,2015-12-18 07:57:00.985,220.0,2.5390625,7,5,2
41,85,True,2015-12-18 10:57:23.485,224.0,1.801215171814,10,5,2
43,84,True,2015-12-18 12:59:45.701,313.0,3.0598957538605,12,7,2
45,84,True,2015-12-19 09:49:20.002,289.0,1.0199652910233,9,6,1
47,85,True,2015-12-19 10:30:11.207,255.0,0.82465273141861,10,6,1
49,85,True,2015-12-20 16:53:20.208,111.0,0.95486104488373,16,2,1
51,85,True,2015-12-21 05:30:05.490,183.0,1.6710069179535,5,4,2
53,87,True,2015-12-21 08:54:33.605,250.0,1.4539929628372,8,6,1
55,84,True,2015-12-21 11:00:58.003,215.0,3.1032984256744,11,5,2
57,84,True,2015-12-21 11:53:18.404,267.0,3.168402671814,11,6,2
59,85,True,2015-12-21 17:00:42.893,259.0,2.951388835907,17,6,2
61,84,True,2015-12-21 19:51:52.489,218.0,5.2300343513489,19,5,3
63,84,True,2015-12-21 20:41:55.093,234.0,5.2300343513489,20,5,3
65,84,True,2015-12-22 00:32:05.783,257.0,2.5173609256744,0,6,2
67,85,True,2015-12-22 08:03:55.001,58.0,0.75954860448837,8,1,1
69,84,True,2015-12-22 08:40:43.079,218.0,2.6475694179535,8,5,2
71,83,True,2015-12-22 09:42:22.088,249.0,5.7942705154419,9,6,4
73,85,True,2015-12-22 11:33:44.681,210.0,5.490451335907,11,5,4
