,index,Tijd,Type,Klasse,Waarde,ID,Omschrijving,Status,Prioriteit,Tijd came,Tijd went,Tijd ack,Gebr.ID,DPE,seconden
1224,1224,2015-12-15 20:52:24.305,PROCES,,FALSE,,Brug Beweging Actief,,,,,,0,DB_A11-Brug-S.Status.BewR,1450212744
1456,1456,2015-12-15 20:51:01.250,PROCES,,FALSE,,Algemeen Commando Brug Sluiten,,,,,,0,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1450212661
1486,1486,2015-12-15 20:50:58.998,PROCES,,TRUE,,Brug Beweging Actief,,,,,,0,DB_A11-Brug-S.Status.BewR,1450212658
1487,1487,2015-12-15 20:50:58.842,PROCES,,TRUE,,Algemeen Commando Brug Sluiten,,,,,,24,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1450212658
1669,1669,2015-12-15 20:49:43.911,PROCES,,FALSE,,Brug Beweging Actief,,,,,,0,DB_A11-Brug-S.Status.BewR,1450212583
1809,1809,2015-12-15 20:48:31.747,PROCES,,FALSE,,Algemeen Commando Brug Openen,,,,,,0,DB_D00-Algemeen-S.CMD.BrugOp.Cmd,1450212511
1836,1836,2015-12-15 20:48:29.404,PROCES,,TRUE,,Brug Beweging Actief,,,,,,0,DB_A11-Brug-S.Status.BewR,1450212509
1841,1841,2015-12-15 20:48:29.222,PROCES,,TRUE,,Algemeen Commando Brug Openen,,,,,,24,DB_D00-Algemeen-S.CMD.BrugOp.Cmd,1450212509
3439,3439,2015-12-15 18:13:47.643,PROCES,,FALSE,,Algemeen Commando Brug Openen,,,,,,0,DB_D00-Algemeen-S.CMD.BrugOp.Cmd,1450203227
3447,3447,2015-12-15 18:13:47.643,PROCES,,FALSE,,Algemeen Commando Brug Sluiten,,,,,,0,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1450203227
3536,3536,2015-12-15 18:13:47.643,PROCES,,FALSE,,Brug Beweging Actief,,,,,,0,DB_A11-Brug-S.Status.BewR,1450203227
3992,3992,2015-12-15 18:01:56.418,PROCES,,FALSE,,Brug Beweging Actief,,,,,,0,DB_A11-Brug-S.Status.BewR,1450202516
4219,4219,2015-12-15 18:00:34.816,PROCES,,FALSE,,Algemeen Commando Brug Sluiten,,,,,,0,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1450202434
4248,4248,2015-12-15 18:00:32.621,PROCES,,TRUE,,Brug Beweging Actief,,,,,,0,DB_A11-Brug-S.Status.BewR,1450202432
4249,4249,2015-12-15 18:00:32.425,PROCES,,TRUE,,Algemeen Commando Brug Sluiten,,,,,,24,DB_D00-Algemeen-S.CMD.BrugSl.Cmd,1450202432
4463,4463,2015-12-15 17:58:52.316,PROCES,,FALSE,,Brug Beweging Actief,,,,,,0,DB_A11-Brug-S.Status.BewR,1450202332
4603,4603,2015-12-15 17:57:40.327,PROCES,,FALSE,,Algemeen Commando Brug Openen,,,,,,0,DB_D00-Algemeen-S.CMD.BrugOp.Cmd,1450202260
