,duur,beweging,time,WR,Wk,uur,WRbin,WKbin
0,75,False,2015-12-02 10:27:49.118,343.0,1.1067707538605,10,0,1
2,74,False,2015-12-02 12:48:23.017,178.0,4.5572915077209,12,4,3
4,74,False,2015-12-02 14:05:22.709,225.0,0.49913191795349,14,5,1
6,74,False,2015-12-02 15:32:34.113,235.0,3.6024303436279,15,5,3
8,73,False,2015-12-02 15:38:43.913,247.0,0.5859375,15,5,1
10,78,False,2015-12-03 05:38:39.911,210.0,1.6276041269302,5,5,2
12,77,False,2015-12-03 08:40:59.221,243.0,2.2569444179535,8,5,2
14,74,False,2015-12-03 12:57:29.220,255.0,1.193576335907,12,6,1
16,78,False,2015-12-04 07:11:42.020,244.0,3.7760415077209,7,5,3
18,75,False,2015-12-04 14:36:16.624,229.0,3.7109372615814,14,5,3
23,76,False,2015-12-07 18:01:34.519,139.0,1.801215171814,18,3,2
25,75,False,2015-12-07 18:56:14.236,119.0,1.4756944179535,18,3,1
27,76,False,2015-12-07 19:57:48.732,142.0,1.6276041269302,19,3,2
29,80,False,2015-12-08 08:21:39.921,149.0,0.99826383590698,8,3,1
31,77,False,2015-12-08 10:25:40.917,119.0,1.0633679628372,10,3,1
33,75,False,2015-12-08 14:20:58.119,151.0,1.584201335907,14,3,2
35,74,False,2015-12-08 14:32:13.931,79.0,2.387152671814,14,2,2
37,74,False,2015-12-08 16:17:42.030,202.0,1.1067707538605,16,4,1
39,76,False,2015-12-08 20:54:37.425,182.0,3.9713540077209,20,4,3
41,80,False,2015-12-09 06:37:45.929,210.0,1.0633679628372,6,5,1
43,80,False,2015-12-09 08:07:40.915,204.0,1.8229166269302,8,5,2
45,77,False,2015-12-09 08:31:03.218,198.0,2.34375,8,4,2
47,76,False,2015-12-09 14:36:49.511,247.0,2.34375,14,5,2
49,83,False,2015-12-10 07:53:33.410,107.0,1.1067707538605,7,2,1
51,81,False,2015-12-10 08:37:37.524,148.0,6.1848955154419,8,3,4
53,81,False,2015-12-10 09:31:25.720,55.0,3.9062497615814,9,1,3
55,80,False,2015-12-10 10:25:34.529,29.0,0.71614581346512,10,1,1
57,79,False,2015-12-10 11:38:21.022,192.0,1.8663194179535,11,4,2
