,duur,beweging,time,WR,Wk,uur,WRbin,WKbin
1,68,True,2015-12-02 10:31:08.425,259.0,2.2135415077209,10,6,2
3,68,True,2015-12-02 12:51:53.423,247.0,0.52083331346512,12,5,1
5,67,True,2015-12-02 14:11:58.010,93.0,0.95486104488373,14,2,1
7,68,True,2015-12-02 15:34:42.619,258.0,1.7361110448837,15,6,2
9,67,True,2015-12-02 15:40:53.717,208.0,2.191840171814,15,5,2
11,69,True,2015-12-03 05:41:38.220,229.0,2.7994790077209,5,5,2
13,69,True,2015-12-03 08:43:31.928,173.0,1.1067707538605,8,4,1
15,67,True,2015-12-03 13:00:28.017,136.0,0.49913191795349,13,3,1
17,70,True,2015-12-04 07:13:55.924,260.0,6.1631941795349,7,6,4
19,68,True,2015-12-04 14:38:18.115,207.0,1.8446179628372,14,5,2
24,69,True,2015-12-07 18:07:44.131,120.0,2.5390625,18,3,2
26,68,True,2015-12-07 18:58:51.214,143.0,1.2803819179535,18,3,1
28,69,True,2015-12-07 20:01:15.926,101.0,1.996527671814,20,2,2
30,71,True,2015-12-08 08:24:07.722,196.0,2.777777671814,8,4,2
32,69,True,2015-12-08 10:27:13.221,158.0,3.537326335907,10,4,3
34,68,True,2015-12-08 14:24:15.124,173.0,1.996527671814,14,4,2
36,68,True,2015-12-08 14:34:46.926,151.0,0.97656244039536,14,3,1
38,68,True,2015-12-08 16:20:41.629,215.0,0.73784720897675,16,5,1
40,68,True,2015-12-08 20:57:39.523,157.0,2.0182290077209,20,3,2
42,71,True,2015-12-09 06:41:07.628,255.0,1.2586804628372,6,6,1
44,72,True,2015-12-09 08:12:03.918,213.0,1.5190972089767,8,5,2
46,70,True,2015-12-09 08:33:11.119,222.0,0.88975691795349,8,5,1
48,69,True,2015-12-09 14:38:56.930,272.0,1.9531248807907,14,6,2
50,73,True,2015-12-10 07:55:51.428,239.0,1.7144097089767,7,5,2
52,72,True,2015-12-10 08:39:57.029,268.0,1.193576335907,8,6,1
54,72,True,2015-12-10 09:34:14.114,125.0,2.4522569179535,9,3,2
56,71,True,2015-12-10 10:27:34.128,236.0,1.193576335907,10,5,1
58,71,True,2015-12-10 11:40:35.329,155.0,2.7994790077209,11,3,2
60,70,True,2015-12-10 12:27:26.422,98.0,0.62934023141861,12,2,1
62,71,True,2015-12-10 17:51:34.312,133.0,1.0850694179535,17,3,1
64,73,True,2015-12-11 10:04:24.220,210.0,3.949652671814,10,5,3
66,71,True,2015-12-11 13:11:56.321,245.0,2.756076335907,13,5,2
68,71,True,2015-12-14 10:21:06.829,106.0,0.4123263657093,10,2,1
70,70,True,2015-12-14 11:08:00.730,153.0,1.8880207538605,11,3,2
72,69,True,2015-12-14 13:20:09.826,24.0,1.4973957538605,13,1,1
74,68,True,2015-12-14 13:41:26.123,66.0,2.1050345897675,13,1,2
76,68,True,2015-12-14 15:16:36.017,255.0,2.0182290077209,15,6,2
78,71,True,2015-12-14 19:16:07.825,151.0,0.71614581346512,19,3,1
80,72,True,2015-12-15 07:45:57.215,38.0,0.06510416418314,7,1,0
82,72,True,2015-12-15 09:45:34.526,270.0,0.43402776122093,9,6,1
84,71,True,2015-12-15 11:44:21.721,48.0,0.54253470897675,11,1,1
86,69,True,2015-12-15 14:30:41.120,107.0,1.171875,14,2,1
88,70,True,2015-12-16 06:57:55.915,299.0,0.78125,6,7,1
90,68,True,2015-12-16 07:49:13.130,309.0,1.0199652910233,7,7,1
92,68,True,2015-12-16 08:39:30.024,14.0,3.2769095897675,8,0,2
94,68,True,2015-12-16 09:48:58.622,134.0,3.168402671814,9,3,2
96,68,True,2015-12-16 10:20:45.624,98.0,1.193576335907,10,2,1
98,67,True,2015-12-16 14:33:42.325,228.0,4.1015625,14,5,3
100,67,True,2015-12-16 16:13:14.122,218.0,3.5156247615814,16,5,3
102,68,True,2015-12-17 10:04:50.918,207.0,0.23871526122093,10,5,1
104,67,True,2015-12-17 12:40:33.316,300.0,0.86805552244186,12,7,1
106,67,True,2015-12-17 15:03:17.814,296.0,1.801215171814,15,7,2
108,67,True,2015-12-17 17:31:22.714,279.0,0.32552081346512,17,6,1
110,68,True,2015-12-18 06:08:40.410,249.0,1.410590171814,6,6,1
112,68,True,2015-12-18 08:35:19.708,225.0,0.4123263657093,8,5,1
114,68,True,2015-12-18 12:38:16.313,203.0,2.7126734256744,12,5,2
116,68,True,2015-12-18 15:03:06.714,214.0,0.34722220897675,15,5,1
118,69,True,2015-12-19 09:20:46.824,270.0,2.3220484256744,9,6,2
120,68,True,2015-12-19 11:00:09.824,236.0,2.9296875,11,5,2
122,68,True,2015-12-21 05:54:51.329,242.0,1.410590171814,5,5,1
124,67,True,2015-12-21 06:05:28.127,220.0,1.4322916269302,6,5,1
126,68,True,2015-12-21 11:30:01.518,239.0,1.5625,11,5,2
128,68,True,2015-12-21 12:25:49.620,240.0,5.7508678436279,12,5,4
130,67,True,2015-12-21 18:44:10.624,247.0,5.9461803436279,18,5,4
132,68,True,2015-12-21 21:12:37.130,241.0,7.0312495231628,21,5,4
134,67,True,2015-12-22 08:46:59.214,240.0,3.1901040077209,8,5,2
136,67,True,2015-12-22 10:19:25.017,290.0,4.513888835907,10,6,3
138,66,True,2015-12-22 11:09:33.516,167.0,1.4756944179535,11,4,1
140,66,True,2015-12-22 16:05:52.216,245.0,8.4852428436279,16,5,5
142,68,True,2015-12-23 09:01:16.629,221.0,3.754340171814,9,5,3
144,67,True,2015-12-23 14:02:18.009,241.0,3.6024303436279,14,5,3
146,67,True,2015-12-23 14:12:57.426,250.0,4.4053816795349,14,6,3
148,72,True,2015-12-28 06:01:40.317,197.0,0.65104162693024,6,4,1
150,70,True,2015-12-28 07:06:02.212,82.0,0.43402776122093,7,2,1
152,69,True,2015-12-28 18:20:32.012,168.0,2.1050345897675,18,4,2
154,72,True,2015-12-29 11:27:37.212,233.0,3.4939234256744,11,5,3
156,70,True,2015-12-29 13:35:33.519,205.0,1.6710069179535,13,5,2
158,69,True,2015-12-29 14:05:06.618,214.0,1.5625,14,5,2
160,73,True,2015-12-30 09:02:27.726,147.0,3.0815970897675,9,3,2
162,71,True,2015-12-31 07:08:31.119,269.0,1.3454860448837,7,6,1
164,75,True,2016-01-04 07:28:31.921,278.0,0.80295133590698,7,6,1
166,72,True,2016-01-04 12:01:01.829,189.0,2.4956595897675,12,4,2
168,72,True,2016-01-05 06:25:38.826,165.0,1.6710069179535,6,4,2
170,72,True,2016-01-05 07:55:21.329,357.0,2.4956595897675,7,0,2
172,72,True,2016-01-05 19:42:27.619,112.0,0.32552081346512,19,2,1
174,73,True,2016-01-06 07:06:35.824,26.0,0.30381941795349,7,1,1
176,72,True,2016-01-06 09:23:10.409,111.0,1.2803819179535,9,2,1
178,72,True,2016-01-06 12:36:05.712,116.0,0.65104162693024,12,3,1
180,72,True,2016-01-06 16:00:39.618,10.0,0.06510416418314,16,0,0
182,71,True,2016-01-06 17:52:49.415,94.0,0.06510416418314,17,2,0
184,71,True,2016-01-06 18:14:23.913,108.0,1.996527671814,18,2,2
186,73,True,2016-01-07 08:22:37.015,131.0,1.5625,8,3,2
188,72,True,2016-01-07 08:29:13.722,113.0,3.2552082538605,8,3,2
190,72,True,2016-01-07 09:57:07.611,103.0,2.170138835907,9,2,2
192,72,True,2016-01-07 11:47:17.914,147.0,4.6875,11,3,3
194,71,True,2016-01-07 13:59:45.023,134.0,1.6927082538605,13,3,2
196,71,True,2016-01-07 14:51:26.014,137.0,2.6909720897675,14,3,2
198,71,True,2016-01-07 18:58:06.123,248.0,3.4939234256744,18,6,3
200,75,True,2016-01-08 08:36:37.513,273.0,4.079861164093,8,6,3
202,72,True,2016-01-08 13:05:27.014,152.0,2.2786457538605,13,3,2
204,75,True,2016-01-09 08:53:41.422,147.0,3.4722220897675,8,3,3
206,73,True,2016-01-09 10:54:39.609,158.0,0.54253470897675,10,4,1
208,76,True,2016-01-11 08:52:19.611,229.0,2.0616319179535,8,5,2
210,75,True,2016-01-11 11:53:13.232,22.0,0.75954860448837,11,0,1
212,73,True,2016-01-11 19:38:04.927,217.0,0.78125,19,5,1
214,73,True,2016-01-12 11:38:01.425,267.0,3.6024303436279,11,6,3
216,72,True,2016-01-12 12:57:43.322,239.0,4.7743053436279,12,5,3
218,71,True,2016-01-12 13:22:21.325,241.0,7.5303816795349,13,5,4
220,74,True,2016-01-13 06:56:40.517,307.0,0.60763883590698,6,7,1
222,73,True,2016-01-13 13:50:15.422,198.0,1.4756944179535,13,4,1
224,75,True,2016-01-13 18:46:06.714,236.0,2.560763835907,18,5,2
226,79,True,2016-01-16 11:57:42.716,328.0,3.9062497615814,11,7,3
228,96,True,2016-01-18 08:46:11.306,119.0,1.0633679628372,8,3,1
230,83,True,2016-01-18 16:07:48.318,62.0,1.193576335907,16,1,1
232,85,True,2016-01-18 19:30:16.524,27.0,0.15190970897675,19,1,0
234,83,True,2016-01-18 19:57:02.719,69.0,0.52083331346512,19,2,1
236,93,True,2016-01-19 09:55:42.234,241.0,0.06510416418314,9,5,0
238,86,True,2016-01-19 10:31:32.215,218.0,1.3020832538605,10,5,1
240,82,True,2016-01-20 10:11:34.422,187.0,1.3237847089767,10,4,1
242,80,True,2016-01-20 14:02:27.824,237.0,2.0182290077209,14,5,2
244,78,True,2016-01-20 15:01:36.117,213.0,0.95486104488373,15,5,1
246,78,True,2016-01-20 18:54:28.116,244.0,1.8663194179535,18,5,2
248,81,True,2016-01-22 16:17:01.915,228.0,0.97656244039536,16,5,1
250,72,True,2016-01-25 08:07:36.623,200.0,0.390625,8,4,1
252,71,True,2016-01-25 08:44:44.715,154.0,2.6258678436279,8,3,2
254,70,True,2016-01-25 10:31:43.612,159.0,3.2986109256744,10,4,2
256,71,True,2016-01-26 08:52:27.319,73.0,3.7109372615814,8,2,3
258,70,True,2016-01-26 12:18:01.429,263.0,2.6475694179535,12,6,2
260,68,True,2016-01-26 14:00:54.028,248.0,4.1883678436279,14,6,3
262,68,True,2016-01-26 15:43:07.321,178.0,0.36892360448837,15,4,1
264,68,True,2016-01-27 11:32:55.027,216.0,5.6423606872559,11,5,4
266,68,True,2016-01-27 15:42:17.827,245.0,1.7361110448837,15,5,2
268,67,True,2016-01-27 16:07:00.523,243.0,1.996527671814,16,5,2
270,68,True,2016-01-27 17:27:34.217,243.0,2.734375,17,5,2
272,69,True,2016-01-27 19:48:45.832,269.0,2.1484375,19,6,2
274,71,True,2016-01-28 13:40:51.816,228.0,2.582465171814,13,5,2
276,71,True,2016-01-28 17:51:34.014,103.0,0.32552081346512,17,2,1
278,73,True,2016-01-29 09:31:36.122,257.0,4.9479165077209,9,6,3
280,70,True,2016-01-29 13:48:48.516,263.0,2.1050345897675,13,6,2
283,69,True,2016-02-01 07:05:15.219,281.0,5.859375,7,6,4
284,69,True,2016-02-01 07:05:15.219,281.0,5.859375,7,6,4
287,69,True,2016-02-01 07:36:59.315,217.0,5.5772566795349,7,5,4
288,69,True,2016-02-01 07:36:59.315,217.0,5.5772566795349,7,5,4
291,68,True,2016-02-01 09:19:51.415,232.0,6.8359370231628,9,5,4
292,68,True,2016-02-01 09:19:51.415,232.0,6.8359370231628,9,5,4
295,69,True,2016-02-01 10:45:30.616,242.0,7.3784718513489,10,5,4
296,69,True,2016-02-01 10:45:30.616,242.0,7.3784718513489,10,5,4
299,69,True,2016-02-01 12:03:44.711,246.0,8.7239580154419,12,5,5
300,69,True,2016-02-01 12:03:44.711,246.0,8.7239580154419,12,5,5
303,68,True,2016-02-01 20:10:58.324,235.0,4.9696178436279,20,5,3
304,68,True,2016-02-01 20:10:58.324,235.0,4.9696178436279,20,5,3
306,69,True,2016-02-02 06:02:10.820,223.0,7.269965171814,6,5,4
308,69,True,2016-02-02 09:14:55.025,225.0,6.076388835907,9,5,4
310,69,True,2016-02-02 12:45:30.830,276.0,2.560763835907,12,6,2
312,70,True,2016-02-02 14:05:26.615,229.0,3.342013835907,14,5,3
314,78,True,2016-02-03 08:29:32.719,245.0,2.2135415077209,8,5,2
316,74,True,2016-02-03 08:51:40.924,224.0,3.0815970897675,8,5,2
318,73,True,2016-02-03 18:21:35.830,230.0,2.5390625,18,5,2
320,71,True,2016-02-05 11:46:21.114,224.0,3.5807290077209,11,5,3
322,69,True,2016-02-05 15:20:37.417,239.0,0.67274302244186,15,5,1
324,70,True,2016-02-06 11:17:12.523,113.0,3.9713540077209,11,3,3
326,71,True,2016-02-08 10:25:02.622,234.0,8.3116312026978,10,5,5
328,69,True,2016-02-08 12:46:33.614,217.0,10.546875,12,5,5
330,68,True,2016-02-08 13:49:03.017,304.0,5.490451335907,13,7,4
332,75,True,2016-02-09 15:41:02.018,294.0,1.9097220897675,15,7,2
334,76,True,2016-02-10 10:05:23.913,237.0,3.8845484256744,10,5,3
336,73,True,2016-02-10 11:53:51.213,228.0,3.6024303436279,11,5,3
338,72,True,2016-02-10 12:33:45.814,237.0,4.123263835907,12,5,3
