,duur,beweging,time,WR,Wk
1,68,True,2015-12-02 10:31:08.425,259.0,2.2135415077209
3,68,True,2015-12-02 12:51:53.423,247.0,0.52083331346512
5,67,True,2015-12-02 14:11:58.010,93.0,0.95486104488373
7,68,True,2015-12-02 15:34:42.619,258.0,1.7361110448837
9,67,True,2015-12-02 15:40:53.717,208.0,2.191840171814
11,69,True,2015-12-03 05:41:38.220,229.0,2.7994790077209
13,69,True,2015-12-03 08:43:31.928,173.0,1.1067707538605
15,67,True,2015-12-03 13:00:28.017,136.0,0.49913191795349
17,70,True,2015-12-04 07:13:55.924,260.0,6.1631941795349
19,68,True,2015-12-04 14:38:18.115,207.0,1.8446179628372
22,37,True,2015-12-07 15:59:08.317,145.0,1.974826335907
24,69,True,2015-12-07 18:07:44.131,120.0,2.5390625
26,68,True,2015-12-07 18:58:51.214,143.0,1.2803819179535
28,69,True,2015-12-07 20:01:15.926,101.0,1.996527671814
30,71,True,2015-12-08 08:24:07.722,196.0,2.777777671814
32,69,True,2015-12-08 10:27:13.221,158.0,3.537326335907
34,68,True,2015-12-08 14:24:15.124,173.0,1.996527671814
36,68,True,2015-12-08 14:34:46.926,151.0,0.97656244039536
38,68,True,2015-12-08 16:20:41.629,215.0,0.73784720897675
40,68,True,2015-12-08 20:57:39.523,157.0,2.0182290077209
42,71,True,2015-12-09 06:41:07.628,255.0,1.2586804628372
44,72,True,2015-12-09 08:12:03.918,213.0,1.5190972089767
46,70,True,2015-12-09 08:33:11.119,222.0,0.88975691795349
48,69,True,2015-12-09 14:38:56.930,272.0,1.9531248807907
50,73,True,2015-12-10 07:55:51.428,239.0,1.7144097089767
52,72,True,2015-12-10 08:39:57.029,268.0,1.193576335907
54,72,True,2015-12-10 09:34:14.114,125.0,2.4522569179535
56,71,True,2015-12-10 10:27:34.128,236.0,1.193576335907
58,71,True,2015-12-10 11:40:35.329,155.0,2.7994790077209
60,70,True,2015-12-10 12:27:26.422,98.0,0.62934023141861
62,71,True,2015-12-10 17:51:34.312,133.0,1.0850694179535
64,73,True,2015-12-11 10:04:24.220,210.0,3.949652671814
66,71,True,2015-12-11 13:11:56.321,245.0,2.756076335907
68,71,True,2015-12-14 10:21:06.829,106.0,0.4123263657093
70,70,True,2015-12-14 11:08:00.730,153.0,1.8880207538605
72,69,True,2015-12-14 13:20:09.826,24.0,1.4973957538605
74,68,True,2015-12-14 13:41:26.123,66.0,2.1050345897675
76,68,True,2015-12-14 15:16:36.017,255.0,2.0182290077209
78,71,True,2015-12-14 19:16:07.825,151.0,0.71614581346512
80,72,True,2015-12-15 07:45:57.215,38.0,0.06510416418314
82,72,True,2015-12-15 09:45:34.526,270.0,0.43402776122093
84,71,True,2015-12-15 11:44:21.721,48.0,0.54253470897675
86,69,True,2015-12-15 14:30:41.120,107.0,1.171875
88,70,True,2015-12-16 06:57:55.915,299.0,0.78125
90,68,True,2015-12-16 07:49:13.130,309.0,1.0199652910233
92,68,True,2015-12-16 08:39:30.024,14.0,3.2769095897675
94,68,True,2015-12-16 09:48:58.622,134.0,3.168402671814
96,68,True,2015-12-16 10:20:45.624,98.0,1.193576335907
98,67,True,2015-12-16 14:33:42.325,228.0,4.1015625
100,67,True,2015-12-16 16:13:14.122,218.0,3.5156247615814
102,68,True,2015-12-17 10:04:50.918,207.0,0.23871526122093
104,67,True,2015-12-17 12:40:33.316,300.0,0.86805552244186
106,67,True,2015-12-17 15:03:17.814,296.0,1.801215171814
108,67,True,2015-12-17 17:31:22.714,279.0,0.32552081346512
110,68,True,2015-12-18 06:08:40.410,249.0,1.410590171814
112,68,True,2015-12-18 08:35:19.708,225.0,0.4123263657093
114,68,True,2015-12-18 12:38:16.313,203.0,2.7126734256744
116,68,True,2015-12-18 15:03:06.714,214.0,0.34722220897675
118,69,True,2015-12-19 09:20:46.824,270.0,2.3220484256744
120,68,True,2015-12-19 11:00:09.824,236.0,2.9296875
122,68,True,2015-12-21 05:54:51.329,242.0,1.410590171814
124,67,True,2015-12-21 06:05:28.127,220.0,1.4322916269302
126,68,True,2015-12-21 11:30:01.518,239.0,1.5625
128,68,True,2015-12-21 12:25:49.620,240.0,5.7508678436279
130,67,True,2015-12-21 18:44:10.624,247.0,5.9461803436279
132,68,True,2015-12-21 21:12:37.130,241.0,7.0312495231628
134,67,True,2015-12-22 08:46:59.214,240.0,3.1901040077209
136,67,True,2015-12-22 10:19:25.017,290.0,4.513888835907
138,66,True,2015-12-22 11:09:33.516,167.0,1.4756944179535
140,66,True,2015-12-22 16:05:52.216,245.0,8.4852428436279
142,68,True,2015-12-23 09:01:16.629,221.0,3.754340171814
144,67,True,2015-12-23 14:02:18.009,241.0,3.6024303436279
146,67,True,2015-12-23 14:12:57.426,250.0,4.4053816795349
148,72,True,2015-12-28 06:01:40.317,197.0,0.65104162693024
150,70,True,2015-12-28 07:06:02.212,82.0,0.43402776122093
152,69,True,2015-12-28 18:20:32.012,168.0,2.1050345897675
154,72,True,2015-12-29 11:27:37.212,233.0,3.4939234256744
156,70,True,2015-12-29 13:35:33.519,205.0,1.6710069179535
158,69,True,2015-12-29 14:05:06.618,214.0,1.5625
160,73,True,2015-12-30 09:02:27.726,147.0,3.0815970897675
162,71,True,2015-12-31 07:08:31.119,269.0,1.3454860448837
164,75,True,2016-01-04 07:28:31.921,278.0,0.80295133590698
166,72,True,2016-01-04 12:01:01.829,189.0,2.4956595897675
168,72,True,2016-01-05 06:25:38.826,165.0,1.6710069179535
170,72,True,2016-01-05 07:55:21.329,357.0,2.4956595897675
172,72,True,2016-01-05 19:42:27.619,112.0,0.32552081346512
174,73,True,2016-01-06 07:06:35.824,26.0,0.30381941795349
176,72,True,2016-01-06 09:23:10.409,111.0,1.2803819179535
178,72,True,2016-01-06 12:36:05.712,116.0,0.65104162693024
180,72,True,2016-01-06 16:00:39.618,10.0,0.06510416418314
182,71,True,2016-01-06 17:52:49.415,94.0,0.06510416418314
184,71,True,2016-01-06 18:14:23.913,108.0,1.996527671814
186,73,True,2016-01-07 08:22:37.015,131.0,1.5625
188,72,True,2016-01-07 08:29:13.722,113.0,3.2552082538605
190,72,True,2016-01-07 09:57:07.611,103.0,2.170138835907
192,72,True,2016-01-07 11:47:17.914,147.0,4.6875
194,71,True,2016-01-07 13:59:45.023,134.0,1.6927082538605
196,71,True,2016-01-07 14:51:26.014,137.0,2.6909720897675
