,duur,beweging,time,WR,Wk,uur,N,NO,O,ZO,Z,ZW,W,NW
0,65,False,2015-12-02 11:18:03.719,227.0,0.30381941795349,11,0,0,0,0,0,1,0,0
1,78,True,2015-12-02 11:21:24.019,209.0,1.801215171814,11,0,0,0,0,0,1,0,0
2,65,False,2015-12-02 12:32:28.529,241.0,1.7144097089767,12,0,0,0,0,0,1,0,0
3,76,True,2015-12-02 12:35:27.726,212.0,0.82465273141861,12,0,0,0,0,0,1,0,0
4,65,False,2015-12-02 15:51:41.415,217.0,1.0850694179535,15,0,0,0,0,0,1,0,0
5,77,True,2015-12-02 15:53:32.220,165.0,0.97656244039536,15,0,0,0,0,1,0,0,0
6,65,False,2015-12-02 17:30:02.635,243.0,3.3854165077209,17,0,0,0,0,0,1,0,0
7,77,True,2015-12-02 17:33:03.831,248.0,2.9296875,17,0,0,0,0,0,0,1,0
8,65,False,2015-12-03 08:02:02.330,163.0,0.47743052244186,8,0,0,0,0,1,0,0,0
9,76,True,2015-12-03 08:10:26.318,32.0,1.1067707538605,8,0,1,0,0,0,0,0,0
10,65,False,2015-12-03 10:28:30.528,292.0,0.91145831346512,10,0,0,0,0,0,0,1,0
11,76,True,2015-12-03 10:30:40.931,237.0,1.801215171814,10,0,0,0,0,0,1,0,0
12,65,False,2015-12-03 14:57:25.516,145.0,1.5190972089767,14,0,0,0,1,0,0,0,0
13,79,True,2015-12-03 15:00:45.223,136.0,2.0616319179535,15,0,0,0,1,0,0,0,0
14,65,False,2015-12-03 20:08:35.333,227.0,1.6927082538605,20,0,0,0,0,0,1,0,0
15,76,True,2015-12-03 20:10:44.135,135.0,3.949652671814,20,0,0,0,1,0,0,0,0
16,65,False,2015-12-04 17:02:39.233,153.0,0.69444441795349,17,0,0,0,1,0,0,0,0
17,76,True,2015-12-04 17:04:53.932,189.0,1.3454860448837,17,0,0,0,0,1,0,0,0
18,66,False,2015-12-07 16:18:12.728,155.0,1.996527671814,16,0,0,0,1,0,0,0,0
19,75,True,2015-12-07 16:21:46.634,145.0,2.777777671814,16,0,0,0,1,0,0,0,0
20,65,False,2015-12-07 21:11:01.719,146.0,1.6710069179535,21,0,0,0,1,0,0,0,0
21,74,True,2015-12-07 21:17:16.131,117.0,0.80295133590698,21,0,0,0,1,0,0,0,0
22,66,False,2015-12-08 07:17:40.821,101.0,3.342013835907,7,0,0,1,0,0,0,0,0
23,73,True,2015-12-08 07:21:52.418,98.0,2.756076335907,7,0,0,1,0,0,0,0,0
24,65,False,2015-12-08 08:41:25.522,146.0,1.605902671814,8,0,0,0,1,0,0,0,0
25,73,True,2015-12-08 08:43:37.732,130.0,2.8211803436279,8,0,0,0,1,0,0,0,0
26,66,False,2015-12-08 10:11:10.927,135.0,2.9947915077209,10,0,0,0,1,0,0,0,0
27,74,True,2015-12-08 10:14:36.022,191.0,1.801215171814,10,0,0,0,0,1,0,0,0
28,65,False,2015-12-08 11:37:05.426,158.0,2.1484375,11,0,0,0,0,1,0,0,0
29,76,True,2015-12-08 11:39:47.933,130.0,3.3854165077209,11,0,0,0,1,0,0,0,0
30,65,False,2015-12-08 11:53:55.131,145.0,2.0182290077209,11,0,0,0,1,0,0,0,0
31,77,True,2015-12-08 11:57:14.131,162.0,4.535590171814,11,0,0,0,0,1,0,0,0
32,65,False,2015-12-08 19:06:30.022,232.0,1.6927082538605,19,0,0,0,0,0,1,0,0
33,74,True,2015-12-08 19:10:11.924,119.0,2.6041665077209,19,0,0,0,1,0,0,0,0
34,65,False,2015-12-09 07:28:20.331,190.0,1.2369791269302,7,0,0,0,0,1,0,0,0
35,74,True,2015-12-09 07:31:00.534,242.0,2.4305553436279,7,0,0,0,0,0,1,0,0
36,65,False,2015-12-09 09:12:45.129,241.0,2.8862845897675,9,0,0,0,0,0,1,0,0
37,72,True,2015-12-09 09:16:47.123,225.0,1.8880207538605,9,0,0,0,0,0,1,0,0
38,65,False,2015-12-09 10:47:04.328,202.0,3.168402671814,10,0,0,0,0,1,0,0,0
39,76,True,2015-12-09 10:49:52.626,219.0,1.4539929628372,10,0,0,0,0,0,1,0,0
40,65,False,2015-12-09 11:24:22.120,237.0,2.2786457538605,11,0,0,0,0,0,1,0,0
41,73,True,2015-12-09 11:27:17.624,254.0,1.7578123807907,11,0,0,0,0,0,0,1,0
42,65,False,2015-12-09 12:51:56.235,230.0,2.4739582538605,12,0,0,0,0,0,1,0,0
43,75,True,2015-12-09 12:54:00.937,241.0,3.363715171814,12,0,0,0,0,0,1,0,0
44,65,False,2015-12-09 18:56:42.627,158.0,2.1050345897675,18,0,0,0,0,1,0,0,0
45,74,True,2015-12-09 18:59:29.628,194.0,2.1267359256744,18,0,0,0,0,1,0,0,0
46,65,False,2015-12-10 06:56:21.520,210.0,1.605902671814,6,0,0,0,0,0,1,0,0
47,72,True,2015-12-10 06:58:57.923,146.0,1.2586804628372,6,0,0,0,1,0,0,0,0
48,66,False,2015-12-10 10:31:27.636,264.0,4.8394093513489,10,0,0,0,0,0,0,1,0
49,76,True,2015-12-10 10:35:16.827,190.0,1.6276041269302,10,0,0,0,0,1,0,0,0
50,65,False,2015-12-10 10:55:32.122,161.0,2.0399305820465,10,0,0,0,0,1,0,0,0
51,75,True,2015-12-10 10:58:52.624,242.0,3.0164928436279,10,0,0,0,0,0,1,0,0
52,65,False,2015-12-10 12:10:00.119,150.0,0.86805552244186,12,0,0,0,1,0,0,0,0
53,74,True,2015-12-10 12:12:28.823,210.0,3.949652671814,12,0,0,0,0,0,1,0,0
54,65,False,2015-12-10 13:27:42.023,232.0,3.1901040077209,13,0,0,0,0,0,1,0,0
55,77,True,2015-12-10 13:29:45.524,158.0,2.2135415077209,13,0,0,0,0,1,0,0,0
56,65,False,2015-12-10 15:07:14.327,228.0,0.80295133590698,15,0,0,0,0,0,1,0,0
57,72,True,2015-12-10 15:09:50.626,129.0,1.605902671814,15,0,0,0,1,0,0,0,0
58,65,False,2015-12-11 11:07:08.120,249.0,2.6041665077209,11,0,0,0,0,0,0,1,0
59,75,True,2015-12-11 11:10:11.521,227.0,2.4956595897675,11,0,0,0,0,0,1,0,0
60,66,False,2015-12-11 11:59:22.834,222.0,2.0182290077209,11,0,0,0,0,0,1,0,0
61,73,True,2015-12-11 12:01:16.426,234.0,4.123263835907,12,0,0,0,0,0,1,0,0
62,66,False,2015-12-11 13:08:00.920,238.0,5.099826335907,13,0,0,0,0,0,1,0,0
63,74,True,2015-12-11 13:11:23.720,221.0,2.9947915077209,13,0,0,0,0,0,1,0,0
64,65,False,2015-12-14 11:04:16.030,133.0,2.1267359256744,11,0,0,0,1,0,0,0,0
65,75,True,2015-12-14 11:06:22.127,150.0,1.1067707538605,11,0,0,0,1,0,0,0,0
66,66,False,2015-12-14 12:59:07.930,151.0,2.5173609256744,12,0,0,0,1,0,0,0,0
67,73,True,2015-12-14 13:01:34.129,165.0,3.2769095897675,13,0,0,0,0,1,0,0,0
68,65,False,2015-12-14 13:33:48.426,167.0,1.1501735448837,13,0,0,0,0,1,0,0,0
69,74,True,2015-12-14 13:35:48.836,140.0,3.1032984256744,13,0,0,0,1,0,0,0,0
70,65,False,2015-12-14 15:12:03.520,199.0,1.605902671814,15,0,0,0,0,1,0,0,0
71,76,True,2015-12-14 15:15:26.820,220.0,2.387152671814,15,0,0,0,0,0,1,0,0
72,65,False,2015-12-14 17:17:15.028,132.0,0.52083331346512,17,0,0,0,1,0,0,0,0
73,77,True,2015-12-14 17:19:17.313,186.0,0.52083331346512,17,0,0,0,0,1,0,0,0
74,65,False,2015-12-15 09:31:52.528,170.0,1.6927082538605,9,0,0,0,0,1,0,0,0
75,73,True,2015-12-15 09:34:26.129,127.0,0.67274302244186,9,0,0,0,1,0,0,0,0
76,55,False,2015-12-15 11:36:44.223,137.0,1.1067707538605,11,0,0,0,1,0,0,0,0
78,73,True,2015-12-15 11:39:59.224,118.0,0.82465273141861,11,0,0,0,1,0,0,0,0
79,65,False,2015-12-15 11:42:19.520,62.0,0.65104162693024,11,0,1,0,0,0,0,0,0
80,75,True,2015-12-15 11:43:33.918,156.0,0.65104162693024,11,0,0,0,1,0,0,0,0
81,65,False,2015-12-15 12:10:34.525,124.0,2.387152671814,12,0,0,0,1,0,0,0,0
82,74,True,2015-12-15 12:12:13.723,139.0,0.65104162693024,12,0,0,0,1,0,0,0,0
83,65,False,2015-12-15 13:31:13.222,193.0,1.3020832538605,13,0,0,0,0,1,0,0,0
84,74,True,2015-12-15 13:32:48.828,146.0,0.86805552244186,13,0,0,0,1,0,0,0,0
85,65,False,2015-12-15 13:36:04.018,142.0,1.3454860448837,13,0,0,0,1,0,0,0,0
86,75,True,2015-12-15 13:38:34.523,171.0,2.1050345897675,13,0,0,0,0,1,0,0,0
87,65,False,2015-12-15 16:28:30.432,97.0,1.2369791269302,16,0,0,1,0,0,0,0,0
