,duur,beweging,time,WR,Wk,uur,N,NO,O,ZO,Z,ZW,W,NW
0,92,False,2015-12-02 09:13:45.583,233.0,3.1032984256744,9,0,0,0,0,0,1,0,0
1,86,True,2015-12-02 09:17:00.573,303.0,1.215277671814,9,0,0,0,0,0,0,0,1
2,92,False,2015-12-02 10:20:33.081,15.0,2.6041665077209,10,1,0,0,0,0,0,0,0
3,88,True,2015-12-02 10:23:43.788,64.0,2.1484375,10,0,1,0,0,0,0,0,0
4,92,False,2015-12-02 11:45:10.279,234.0,1.8446179628372,11,0,0,0,0,0,1,0,0
5,88,True,2015-12-02 11:49:11.783,90.0,2.170138835907,11,0,0,1,0,0,0,0,0
6,91,False,2015-12-02 11:59:35.285,229.0,0.80295133590698,11,0,0,0,0,0,1,0,0
7,87,True,2015-12-02 12:01:59.181,222.0,0.21701388061047,12,0,0,0,0,0,1,0,0
8,90,False,2015-12-02 13:50:01.093,244.0,3.6458332538605,13,0,0,0,0,0,1,0,0
9,88,True,2015-12-02 13:53:08.895,202.0,2.1050345897675,13,0,0,0,0,1,0,0,0
10,92,False,2015-12-02 14:42:21.380,250.0,3.363715171814,14,0,0,0,0,0,0,1,0
11,88,True,2015-12-02 14:44:42.681,227.0,0.62934023141861,14,0,0,0,0,0,1,0,0
12,91,False,2015-12-02 17:01:36.083,221.0,2.734375,17,0,0,0,0,0,1,0,0
13,86,True,2015-12-02 17:03:40.088,257.0,0.75954860448837,17,0,0,0,0,0,0,1,0
14,91,False,2015-12-02 17:27:47.092,222.0,0.86805552244186,17,0,0,0,0,0,1,0,0
15,86,True,2015-12-02 17:30:21.281,207.0,2.951388835907,17,0,0,0,0,0,1,0,0
16,91,False,2015-12-02 23:32:07.976,209.0,2.1484375,23,0,0,0,0,0,1,0,0
17,85,True,2015-12-02 23:34:56.881,151.0,0.78125,23,0,0,0,1,0,0,0,0
18,90,False,2015-12-03 05:31:26.485,219.0,2.4739582538605,5,0,0,0,0,0,1,0,0
19,83,True,2015-12-03 05:34:17.081,219.0,3.2769095897675,5,0,0,0,0,0,1,0,0
20,92,False,2015-12-03 08:04:02.283,118.0,3.7977428436279,8,0,0,0,1,0,0,0,0
21,85,True,2015-12-03 08:06:59.978,138.0,1.6493054628372,8,0,0,0,1,0,0,0,0
22,91,False,2015-12-03 12:51:16.686,49.0,1.6276041269302,12,0,1,0,0,0,0,0,0
23,86,True,2015-12-03 12:54:07.884,239.0,1.2586804628372,12,0,0,0,0,0,1,0,0
24,91,False,2015-12-03 19:09:50.779,147.0,1.7144097089767,19,0,0,0,1,0,0,0,0
25,85,True,2015-12-03 19:11:50.985,200.0,2.8862845897675,19,0,0,0,0,1,0,0,0
26,90,False,2015-12-03 21:31:25.576,135.0,3.2118053436279,21,0,0,0,1,0,0,0,0
27,84,True,2015-12-03 21:34:06.782,227.0,1.5407985448837,21,0,0,0,0,0,1,0,0
28,92,False,2015-12-04 06:53:47.986,218.0,6.25,6,0,0,0,0,0,1,0,0
29,85,True,2015-12-04 06:57:30.784,228.0,4.2534718513489,6,0,0,0,0,0,1,0,0
