,duur,beweging,time,WR,Wk,uur,WRbin,WKbin
0,92,False,2015-12-02 09:13:45.583,233.0,3.1032984256744,9,5,2
2,92,False,2015-12-02 10:20:33.081,15.0,2.6041665077209,10,0,2
4,92,False,2015-12-02 11:45:10.279,234.0,1.8446179628372,11,5,2
6,91,False,2015-12-02 11:59:35.285,229.0,0.80295133590698,11,5,1
8,90,False,2015-12-02 13:50:01.093,244.0,3.6458332538605,13,5,3
10,92,False,2015-12-02 14:42:21.380,250.0,3.363715171814,14,6,3
12,91,False,2015-12-02 17:01:36.083,221.0,2.734375,17,5,2
14,91,False,2015-12-02 17:27:47.092,222.0,0.86805552244186,17,5,1
16,91,False,2015-12-02 23:32:07.976,209.0,2.1484375,23,5,2
18,90,False,2015-12-03 05:31:26.485,219.0,2.4739582538605,5,5,2
20,92,False,2015-12-03 08:04:02.283,118.0,3.7977428436279,8,3,3
22,91,False,2015-12-03 12:51:16.686,49.0,1.6276041269302,12,1,2
24,91,False,2015-12-03 19:09:50.779,147.0,1.7144097089767,19,3,2
26,90,False,2015-12-03 21:31:25.576,135.0,3.2118053436279,21,3,2
28,92,False,2015-12-04 06:53:47.986,218.0,6.25,6,5,4
30,92,False,2015-12-04 07:16:30.990,249.0,2.6692707538605,7,6,2
32,92,False,2015-12-04 11:23:41.581,231.0,3.537326335907,11,5,3
34,91,False,2015-12-07 10:44:03.886,151.0,1.0850694179535,10,3,1
36,90,False,2015-12-07 17:54:51.886,119.0,1.4756944179535,17,3,1
38,88,False,2015-12-07 18:16:04.185,147.0,1.4756944179535,18,3,1
40,88,False,2015-12-07 19:48:41.282,106.0,1.7361110448837,19,2,2
42,88,False,2015-12-07 20:37:06.988,123.0,2.2786457538605,20,3,2
44,88,False,2015-12-08 02:34:07.493,45.0,1.5190972089767,2,1,2
46,89,False,2015-12-08 07:20:54.699,141.0,2.1050345897675,7,3,2
48,91,False,2015-12-08 10:31:01.984,85.0,4.2534718513489,10,2,3
50,91,False,2015-12-08 10:45:59.079,163.0,0.54253470897675,10,4,1
52,90,False,2015-12-08 12:56:21.390,125.0,4.926215171814,12,3,3
54,91,False,2015-12-08 14:28:56.595,272.0,0.21701388061047,14,6,1
56,90,False,2015-12-08 15:17:05.487,188.0,4.6440968513489,15,4,3
58,89,False,2015-12-08 16:08:49.101,283.0,2.0399305820465,16,6,2
60,89,False,2015-12-08 18:16:13.692,190.0,0.30381941795349,18,4,1
62,89,False,2015-12-08 19:26:56.583,209.0,4.6875,19,5,3
64,88,False,2015-12-08 20:46:46.192,144.0,1.4973957538605,20,3,1
66,90,False,2015-12-09 07:59:19.196,226.0,1.6710069179535,7,5,2
68,89,False,2015-12-09 09:21:39.080,195.0,2.560763835907,9,4,2
70,89,False,2015-12-09 11:05:15.777,257.0,2.1050345897675,11,6,2
72,88,False,2015-12-09 12:37:49.278,254.0,3.0381944179535,12,6,2
74,89,False,2015-12-09 13:07:39.278,212.0,1.0199652910233,13,5,1
76,89,False,2015-12-09 14:41:59.781,218.0,1.6710069179535,14,5,2
78,89,False,2015-12-09 15:28:06.780,248.0,1.171875,15,6,1
