,duur,beweging,time,WR,Wk
1,93,True,2015-12-02 09:08:27.407,255.0,2.4305553436279
3,84,True,2015-12-02 11:05:27.698,225.0,2.2135415077209
5,84,True,2015-12-02 12:22:32.897,257.0,0.36892360448837
7,82,True,2015-12-02 12:47:51.094,234.0,4.0581593513489
9,85,True,2015-12-02 16:03:50.602,235.0,2.170138835907
11,82,True,2015-12-02 17:44:34.195,260.0,2.2569444179535
13,96,True,2015-12-03 08:25:34.912,117.0,0.62934023141861
15,85,True,2015-12-03 10:41:03.599,143.0,0.69444441795349
17,85,True,2015-12-03 15:14:06.007,105.0,3.0598957538605
19,88,True,2015-12-03 20:01:48.704,129.0,2.8211803436279
21,93,True,2015-12-04 17:15:58.410,218.0,1.5625
23,84,True,2015-12-07 16:06:35.606,132.0,1.3671875
25,88,True,2015-12-07 21:36:08.694,128.0,1.0416666269302
27,91,True,2015-12-08 07:39:47.405,110.0,3.0164928436279
29,85,True,2015-12-08 08:33:58.100,142.0,2.170138835907
31,85,True,2015-12-08 10:25:05.498,239.0,1.0633679628372
33,84,True,2015-12-08 11:23:09.810,144.0,6.1414928436279
35,82,True,2015-12-08 11:40:45.794,111.0,0.65104162693024
37,86,True,2015-12-08 19:26:23.193,224.0,2.0833332538605
39,92,True,2015-12-09 07:46:38.893,210.0,2.0833332538605
41,88,True,2015-12-09 09:31:55.697,250.0,2.2352430820465
43,86,True,2015-12-09 11:06:06.190,238.0,1.9314235448837
45,85,True,2015-12-09 11:45:22.410,216.0,1.0850694179535
47,85,True,2015-12-09 12:44:21.502,217.0,2.2569444179535
49,91,True,2015-12-09 19:12:51.794,129.0,2.9079859256744
51,94,True,2015-12-10 06:43:47.908,157.0,2.973090171814
53,89,True,2015-12-10 10:22:54.101,226.0,2.2569444179535
55,87,True,2015-12-10 10:43:46.899,313.0,1.1067707538605
57,88,True,2015-12-10 11:16:53.607,211.0,2.582465171814
59,86,True,2015-12-10 12:23:40.611,190.0,0.91145831346512
61,86,True,2015-12-10 13:39:56.794,145.0,1.3237847089767
63,85,True,2015-12-10 14:53:55.304,238.0,0.78125
65,93,True,2015-12-11 10:58:40.398,230.0,2.0833332538605
67,86,True,2015-12-11 11:51:04.400,209.0,1.7361110448837
69,87,True,2015-12-11 12:41:35.899,223.0,3.7760415077209
71,85,True,2015-12-11 13:29:59.296,236.0,3.6892359256744
73,97,True,2015-12-12 10:34:24.800,235.0,1.3671875
75,95,True,2015-12-14 10:49:27.992,114.0,0.49913191795349
77,84,True,2015-12-14 13:12:05.499,268.0,5.512152671814
79,83,True,2015-12-14 13:25:29.602,194.0,2.756076335907
81,85,True,2015-12-14 15:26:31.312,96.0,0.4123263657093
83,84,True,2015-12-14 17:09:02.196,142.0,0.4123263657093
85,102,True,2015-12-15 09:44:42.293,118.0,0.43402776122093
87,87,True,2015-12-15 11:49:38.402,144.0,0.67274302244186
89,86,True,2015-12-15 12:14:20.296,162.0,0.47743052244186
91,84,True,2015-12-15 12:25:05.797,147.0,0.86805552244186
93,84,True,2015-12-15 13:42:53.207,154.0,0.75954860448837
95,82,True,2015-12-15 13:50:18.491,122.0,0.80295133590698
97,87,True,2015-12-15 16:44:44.007,132.0,0.71614581346512
99,93,True,2015-12-16 08:52:13.093,274.0,1.2586804628372
101,84,True,2015-12-16 10:40:34.198,161.0,1.1501735448837
103,83,True,2015-12-16 11:54:01.308,290.0,0.45572915673256
105,82,True,2015-12-16 12:29:08.400,270.0,1.0633679628372
107,83,True,2015-12-16 13:36:49.699,261.0,1.9314235448837
109,87,True,2015-12-16 18:58:51.200,218.0,3.9713540077209
111,91,True,2015-12-17 07:14:46.902,205.0,0.32552081346512
113,85,True,2015-12-17 12:06:12.496,146.0,1.3454860448837
115,81,True,2015-12-17 14:24:00.094,54.0,0.60763883590698
117,79,True,2015-12-17 14:30:34.398,207.0,0.1953125
119,83,True,2015-12-18 10:36:29.098,240.0,3.8411457538605
121,81,True,2015-12-18 10:45:28.100,214.0,3.4722220897675
123,82,True,2015-12-18 12:17:43.108,267.0,0.45572915673256
125,84,True,2015-12-18 15:10:27.196,212.0,2.8645832538605
127,96,True,2015-12-19 13:44:26.196,271.0,1.6927082538605
129,82,True,2015-12-20 18:44:19.796,219.0,2.777777671814
131,100,True,2015-12-21 08:52:38.892,211.0,3.0381944179535
133,83,True,2015-12-21 09:19:41.197,169.0,2.1484375
135,90,True,2015-12-21 14:20:08.399,236.0,2.6258678436279
137,86,True,2015-12-21 15:35:02.791,224.0,0.390625
139,89,True,2015-12-22 09:02:55.995,232.0,1.6276041269302
141,82,True,2015-12-22 09:11:37.708,350.0,3.8194441795349
143,82,True,2015-12-22 10:54:10.104,62.0,2.2569444179535
145,84,True,2015-12-22 13:13:35.099,152.0,2.4956595897675
147,82,True,2015-12-22 13:50:45.709,276.0,0.5859375
149,94,True,2015-12-23 11:01:53.097,226.0,5.7725691795349
151,83,True,2015-12-23 12:06:20.702,235.0,3.4939234256744
153,89,True,2015-12-23 16:20:44.019,235.0,0.43402776122093
155,87,True,2015-12-28 09:02:09.003,102.0,0.5859375
157,85,True,2015-12-28 09:12:15.802,138.0,1.584201335907
159,88,True,2015-12-28 12:35:48.298,131.0,1.584201335907
161,83,True,2015-12-28 16:26:20.095,92.0,0.69444441795349
163,99,True,2015-12-29 11:41:20.698,249.0,3.4288194179535
165,84,True,2015-12-29 11:55:15.091,110.0,0.75954860448837
167,85,True,2015-12-29 13:51:54.807,149.0,3.6675345897675
169,85,True,2015-12-29 14:14:19.805,159.0,5.5989580154419
171,94,True,2015-12-31 08:31:32.908,167.0,0.36892360448837
173,86,True,2015-12-31 10:00:20.408,97.0,4.3836803436279
175,102,True,2016-01-04 10:07:47.207,327.0,0.5859375
177,88,True,2016-01-04 10:40:00.708,223.0,0.49913191795349
179,99,True,2016-01-05 09:36:15.489,178.0,2.6041665077209
181,88,True,2016-01-05 11:04:13.602,10.0,0.26041665673256
183,87,True,2016-01-05 11:47:44.694,175.0,1.9531248807907
185,86,True,2016-01-05 13:54:27.594,170.0,0.71614581346512
187,85,True,2016-01-05 15:28:51.307,190.0,1.8880207538605
189,86,True,2016-01-05 20:49:50.393,116.0,1.6493054628372
191,89,True,2016-01-06 07:09:03.703,80.0,0.93315970897675
193,87,True,2016-01-06 07:21:00.599,98.0,0.99826383590698
195,90,True,2016-01-06 12:51:28.796,74.0,1.4539929628372
197,87,True,2016-01-06 15:25:47.603,119.0,1.779513835907
199,85,True,2016-01-06 15:55:57.903,130.0,0.4123263657093
201,85,True,2016-01-06 16:49:47.507,25.0,0.10850694030523
203,91,True,2016-01-07 06:56:50.209,160.0,3.2118053436279
205,88,True,2016-01-07 10:39:42.397,106.0,3.0164928436279
207,86,True,2016-01-07 11:52:53.597,82.0,3.2986109256744
209,86,True,2016-01-07 12:58:33.098,136.0,0.93315970897675
211,87,True,2016-01-07 15:25:04.402,154.0,4.8177080154419
213,87,True,2016-01-07 16:01:07.601,139.0,3.6892359256744
215,83,True,2016-01-07 16:07:56.111,165.0,3.1901040077209
217,89,True,2016-01-07 20:24:41.298,233.0,5.5989580154419
