,duur,beweging,time,WR,Wk,uur,WRbin,WKbin
1,84,True,2015-12-02 10:41:42.360,254.0,1.801215171814,10,6,2
3,84,True,2015-12-02 13:10:15.044,237.0,0.390625,13,5,1
5,84,True,2015-12-02 13:56:25.965,237.0,4.2317705154419,13,5,3
7,84,True,2015-12-02 14:17:25.256,305.0,4.0147566795349,14,7,3
9,84,True,2015-12-02 14:24:45.858,140.0,3.927951335907,14,3,3
11,84,True,2015-12-02 15:24:24.944,269.0,1.996527671814,15,6,2
13,84,True,2015-12-02 15:50:37.945,237.0,1.779513835907,15,5,2
15,84,True,2015-12-03 05:55:37.747,175.0,0.65104162693024,5,4,1
17,84,True,2015-12-03 08:52:28.359,224.0,1.4539929628372,8,5,1
19,83,True,2015-12-03 13:10:14.042,206.0,1.193576335907,13,5,1
21,84,True,2015-12-04 07:07:02.148,246.0,4.513888835907,7,5,3
23,85,True,2015-12-04 14:51:29.942,211.0,3.3854165077209,14,5,3
25,84,True,2015-12-07 18:25:55.442,138.0,3.5156247615814,18,3,3
27,85,True,2015-12-07 18:47:38.854,114.0,1.6493054628372,18,3,2
29,84,True,2015-12-07 20:16:01.540,129.0,0.65104162693024,20,3,1
31,84,True,2015-12-08 08:33:39.751,140.0,2.7994790077209,8,3,2
33,84,True,2015-12-08 10:19:12.448,153.0,2.0182290077209,10,3,2
35,84,True,2015-12-08 14:13:50.656,146.0,2.0833332538605,14,3,2
37,84,True,2015-12-08 14:23:13.246,173.0,3.2118053436279,14,4,2
39,85,True,2015-12-08 16:33:19.661,184.0,1.5625,16,4,2
41,84,True,2015-12-08 21:10:16.847,185.0,5.316840171814,21,4,3
44,84,True,2015-12-09 06:59:16.661,238.0,0.73784720897675,6,5,1
46,84,True,2015-12-09 08:25:28.448,250.0,0.86805552244186,8,6,1
48,83,True,2015-12-09 08:42:46.261,198.0,0.75954860448837,8,4,1
50,84,True,2015-12-09 08:56:10.639,227.0,1.7144097089767,8,5,2
52,84,True,2015-12-09 14:31:15.453,220.0,3.6024303436279,14,5,3
54,84,True,2015-12-10 08:10:35.655,316.0,0.65104162693024,8,7,1
56,84,True,2015-12-10 08:48:39.742,105.0,1.9097220897675,8,2,2
58,84,True,2015-12-10 09:23:26.653,232.0,1.5190972089767,9,5,2
60,84,True,2015-12-10 10:36:49.153,293.0,1.5190972089767,10,7,2
62,84,True,2015-12-10 11:50:15.955,141.0,4.6440968513489,11,3,3
64,84,True,2015-12-10 12:19:22.962,287.0,5.7942705154419,12,6,4
66,84,True,2015-12-10 17:38:51.755,204.0,2.756076335907,17,5,2
68,84,True,2015-12-11 10:17:41.760,206.0,2.3220484256744,10,5,2
70,84,True,2015-12-11 13:03:30.651,241.0,3.342013835907,13,5,3
72,84,True,2015-12-14 10:10:20.154,145.0,1.1067707538605,10,3,1
74,84,True,2015-12-14 11:18:05.343,175.0,2.6258678436279,11,4,2
76,84,True,2015-12-14 13:31:41.538,263.0,1.3454860448837,13,6,1
78,84,True,2015-12-14 14:01:40.346,330.0,0.21701388061047,14,7,1
80,85,True,2015-12-14 14:07:20.946,239.0,0.73784720897675,14,5,1
82,84,True,2015-12-14 14:12:34.057,217.0,1.1501735448837,14,5,1
84,85,True,2015-12-14 14:30:39.751,216.0,0.62934023141861,14,5,1
86,85,True,2015-12-14 14:47:47.673,225.0,2.0399305820465,14,5,2
88,85,True,2015-12-14 15:08:49.556,226.0,3.0815970897675,15,5,2
90,84,True,2015-12-14 19:07:11.749,176.0,0.86805552244186,19,4,1
92,84,True,2015-12-15 07:56:27.564,13.0,0.43402776122093,7,0,1
94,84,True,2015-12-15 08:18:14.161,48.0,0.23871526122093,8,1,1
96,84,True,2015-12-15 09:08:37.466,133.0,1.4973957538605,9,3,1
101,84,True,2015-12-15 09:57:29.142,130.0,1.7361110448837,9,3,2
103,84,True,2015-12-15 11:55:16.058,131.0,0.82465273141861,11,3,1
105,84,True,2015-12-15 14:40:37.462,134.0,1.5407985448837,14,3,2
107,84,True,2015-12-16 07:06:15.563,183.0,1.2369791269302,7,4,1
109,84,True,2015-12-16 08:01:37.162,150.0,4.340277671814,8,3,3
111,84,True,2015-12-16 08:52:52.450,253.0,1.4973957538605,8,6,1
113,83,True,2015-12-16 09:38:43.157,248.0,1.388888835907,9,6,1
115,84,True,2015-12-16 10:37:20.663,137.0,1.8663194179535,10,3,2
117,85,True,2015-12-16 14:22:54.647,216.0,1.4539929628372,14,5,1
119,84,True,2015-12-16 16:24:52.457,234.0,2.1050345897675,16,5,2
