,duur,beweging,time,WR,Wk,WRbin,WKbin
0,85,False,2015-12-02 08:59:02.991,142.0,1.8446179628372,3,2
2,85,False,2015-12-02 10:07:28.297,266.0,1.388888835907,6,1
4,85,False,2015-12-02 11:30:17.587,141.0,0.34722220897675,3,1
6,85,False,2015-12-02 12:10:31.701,229.0,1.3237847089767,5,1
8,85,False,2015-12-02 13:32:21.597,151.0,3.1032984256744,3,2
10,85,False,2015-12-02 14:32:37.806,215.0,1.8880207538605,5,2
12,84,False,2015-12-02 17:11:59.100,146.0,1.2369791269302,3,1
14,84,False,2015-12-02 17:40:34.103,275.0,0.36892360448837,6,1
16,85,False,2015-12-02 23:20:41.699,114.0,0.93315970897675,3,1
18,85,False,2015-12-03 05:17:10.690,311.0,1.3454860448837,7,1
20,85,False,2015-12-03 08:17:31.094,265.0,0.21701388061047,6,1
22,85,False,2015-12-03 12:39:04.492,166.0,1.3671875,4,1
24,85,False,2015-12-03 18:59:12.690,165.0,4.275173664093,4,3
26,85,False,2015-12-03 21:45:13.402,295.0,0.26041665673256,7,1
28,85,False,2015-12-04 06:40:43.001,202.0,2.34375,4,2
30,85,False,2015-12-04 07:26:07.192,245.0,3.4722220897675,5,3
32,85,False,2015-12-04 11:37:45.298,269.0,2.5390625,6,2
34,85,False,2015-12-07 17:33:26.992,150.0,1.9531248807907,3,2
36,85,False,2015-12-07 18:04:20.589,142.0,2.1267359256744,3,2
38,85,False,2015-12-07 19:31:16.404,107.0,1.193576335907,2,1
40,85,False,2015-12-07 20:50:39.785,123.0,1.6710069179535,3,2
42,85,False,2015-12-08 02:22:02.099,142.0,0.49913191795349,3,1
44,86,False,2015-12-08 07:31:04.807,146.0,2.756076335907,3,2
46,85,False,2015-12-08 10:31:17.295,137.0,3.4071178436279,3,3
48,85,False,2015-12-08 10:41:59.908,155.0,3.8411457538605,3,3
50,85,False,2015-12-08 13:05:35.794,143.0,4.4921875,3,3
52,60,False,2015-12-08 13:13:05.992,164.0,4.2100691795349,4,3
54,85,False,2015-12-08 14:43:07.706,219.0,2.8211803436279,5,2
56,84,False,2015-12-08 15:02:55.293,151.0,1.0850694179535,3,1
58,84,False,2015-12-08 15:53:47.290,235.0,1.215277671814,5,1
60,85,False,2015-12-08 18:28:18.394,233.0,1.801215171814,5,2
62,84,False,2015-12-08 19:11:20.088,213.0,4.144965171814,5,3
64,85,False,2015-12-08 20:32:36.687,251.0,2.8211803436279,6,2
66,86,False,2015-12-09 07:42:12.098,261.0,0.36892360448837,6,1
68,86,False,2015-12-09 09:06:35.289,254.0,0.93315970897675,6,1
70,86,False,2015-12-09 10:45:28.296,212.0,2.365451335907,5,2
72,86,False,2015-12-09 12:48:26.889,212.0,2.5173609256744,5,2
74,85,False,2015-12-09 13:17:56.298,253.0,4.275173664093,6,3
76,85,False,2015-12-09 14:52:34.593,205.0,1.1067707538605,5,1
78,84,False,2015-12-09 15:16:44.287,183.0,2.9296875,4,2
80,85,False,2015-12-09 16:49:17.998,149.0,1.5190972089767,3,2
82,85,False,2015-12-09 18:08:50.001,126.0,0.93315970897675,3,1
84,85,False,2015-12-09 19:02:10.089,150.0,1.779513835907,3,2
86,87,False,2015-12-09 21:29:38.902,283.0,1.1284722089767,6,1
88,87,False,2015-12-10 12:34:52.689,148.0,2.8645832538605,3,2
90,85,False,2015-12-10 12:43:32.395,181.0,1.605902671814,4,2
92,86,False,2015-12-10 14:45:57.785,272.0,1.215277671814,6,1
94,87,False,2015-12-10 20:08:22.991,134.0,1.605902671814,3,2
96,87,False,2015-12-10 21:23:50.086,242.0,0.52083331346512,5,1
98,86,False,2015-12-10 22:32:24.198,265.0,2.4088540077209,6,2
100,87,False,2015-12-11 09:28:11.693,228.0,2.5173609256744,5,2
102,85,False,2015-12-11 09:35:26.597,145.0,4.8828125,3,3
104,87,False,2015-12-11 12:51:08.906,218.0,1.9314235448837,5,2
106,85,False,2015-12-14 10:22:56.288,170.0,1.215277671814,4,1
108,85,False,2015-12-14 10:36:56.396,142.0,0.91145831346512,3,1
110,86,False,2015-12-14 15:28:25.602,195.0,0.30381941795349,4,1
112,86,False,2015-12-14 18:29:01.790,101.0,1.2803819179535,2,1
114,86,False,2015-12-14 19:29:40.699,151.0,0.30381941795349,3,1
116,86,False,2015-12-14 21:17:30.899,175.0,0.43402776122093,4,1
118,85,False,2015-12-14 22:21:04.296,230.0,0.62934023141861,5,1
120,85,False,2015-12-14 22:45:12.204,117.0,0.86805552244186,3,1
122,87,False,2015-12-15 06:53:44.505,53.0,0.15190970897675,1,0
124,85,False,2015-12-15 07:33:52.311,142.0,0.54253470897675,3,1
126,85,False,2015-12-15 08:51:55.192,147.0,1.1284722089767,3,1
128,85,False,2015-12-15 11:22:48.293,177.0,0.73784720897675,4,1
130,85,False,2015-12-15 12:40:47.699,239.0,0.78125,5,1
132,85,False,2015-12-15 14:08:43.191,145.0,0.10850694030523,3,0
134,85,False,2015-12-15 14:53:07.295,142.0,1.7144097089767,3,2
136,85,False,2015-12-15 18:06:14.591,132.0,1.3454860448837,3,1
138,86,False,2015-12-15 20:54:41.894,132.0,0.86805552244186,3,1
140,85,False,2015-12-16 07:23:23.194,13.0,1.8229166269302,0,2
142,85,False,2015-12-16 09:49:31.595,127.0,2.387152671814,3,2
144,84,False,2015-12-16 10:02:53.290,204.0,0.69444441795349,5,1
146,85,False,2015-12-16 14:48:07.596,222.0,1.6927082538605,5,2
148,85,False,2015-12-16 15:48:28.112,194.0,2.3220484256744,4,2
150,85,False,2015-12-16 19:50:26.600,236.0,3.5156247615814,5,3
152,84,False,2015-12-16 20:42:00.099,241.0,3.6458332538605,5,3
154,85,False,2015-12-17 01:10:27.791,202.0,1.779513835907,4,2
156,85,False,2015-12-17 06:03:56.794,46.0,2.1267359256744,1,2
158,85,False,2015-12-17 07:41:36.398,219.0,1.3671875,5,1
160,85,False,2015-12-17 09:54:57.691,340.0,0.30381941795349,0,1
162,85,False,2015-12-17 17:26:52.492,148.0,0.4123263657093,3,1
164,84,False,2015-12-17 17:49:33.104,346.0,1.4539929628372,0,1
166,85,False,2015-12-17 21:01:02.606,173.0,2.6692707538605,4,2
168,85,False,2015-12-18 01:26:57.800,196.0,3.363715171814,4,3
170,84,False,2015-12-18 07:47:48.188,231.0,3.1901040077209,5,2
172,85,False,2015-12-18 10:49:09.301,212.0,0.52083331346512,5,1
174,85,False,2015-12-18 12:51:47.887,220.0,1.3671875,5,1
176,85,False,2015-12-19 09:38:35.387,205.0,1.4973957538605,5,1
178,85,False,2015-12-19 10:34:28.690,158.0,0.73784720897675,4,1
180,85,False,2015-12-20 16:57:14.688,167.0,0.10850694030523,4,0
182,85,False,2015-12-21 05:35:04.595,203.0,2.582465171814,5,2
184,85,False,2015-12-21 08:47:21.099,203.0,3.7977428436279,5,3
186,86,False,2015-12-21 11:05:24.995,190.0,2.777777671814,4,2
188,85,False,2015-12-21 11:57:41.599,247.0,6.0329856872559,5,4
190,86,False,2015-12-21 17:04:22.996,210.0,0.49913191795349,5,1
192,85,False,2015-12-21 19:43:12.201,221.0,4.340277671814,5,3
194,85,False,2015-12-21 20:45:28.403,262.0,3.0381944179535,6,2
196,85,False,2015-12-22 00:36:43.986,226.0,2.1267359256744,5,2
198,85,False,2015-12-22 07:53:16.101,231.0,4.6440968513489,5,3
200,85,False,2015-12-22 08:48:05.193,290.0,1.7144097089767,6,2
202,85,False,2015-12-22 09:49:00.791,109.0,1.4756944179535,2,1
204,85,False,2015-12-22 11:24:31.802,206.0,3.7977428436279,5,3
206,84,False,2015-12-22 18:37:09.295,268.0,2.2569444179535,6,2
208,84,False,2015-12-22 21:49:47.292,214.0,3.4505207538605,5,3
210,85,False,2015-12-23 07:59:10.205,233.0,5.4253468513489,5,4
212,85,False,2015-12-23 10:36:35.892,220.0,3.754340171814,5,3
214,84,False,2015-12-23 13:52:20.001,219.0,1.974826335907,5,2
216,84,False,2015-12-23 14:18:03.195,217.0,4.8394093513489,5,3
218,85,False,2015-12-23 21:03:52.095,144.0,1.0199652910233,3,1
220,86,False,2015-12-24 07:04:36.391,170.0,1.2369791269302,4,1
222,86,False,2015-12-24 11:02:12.989,175.0,0.69444441795349,4,1
224,85,False,2015-12-27 13:25:42.392,198.0,5.9895830154419,4,4
226,84,False,2015-12-27 15:27:43.191,236.0,4.535590171814,5,3
228,84,False,2015-12-27 17:19:07.393,220.0,1.2369791269302,5,1
230,85,False,2015-12-28 22:47:26.483,128.0,2.2352430820465,3,2
232,86,False,2015-12-29 06:49:48.295,99.0,0.56423610448837,2,1
234,85,False,2015-12-29 06:54:22.090,143.0,0.99826383590698,3,1
236,86,False,2015-12-29 09:14:54.387,137.0,1.3454860448837,3,1
238,86,False,2015-12-29 11:01:37.883,271.0,0.91145831346512,6,1
240,85,False,2015-12-29 13:50:01.097,330.0,1.2586804628372,7,1
242,85,False,2015-12-29 14:17:57.692,122.0,0.1953125,3,0
244,86,False,2015-12-29 23:14:12.885,53.0,2.582465171814,1,2
246,87,False,2015-12-30 07:33:40.297,332.0,0.52083331346512,7,1
248,86,False,2015-12-30 09:20:53.507,129.0,1.1067707538605,3,1
250,86,False,2015-12-31 06:43:14.891,241.0,1.2369791269302,5,1
252,86,False,2016-01-03 16:10:25.703,158.0,3.8628470897675,4,3
254,87,False,2016-01-04 07:47:38.693,300.0,0.23871526122093,7,1
256,86,False,2016-01-04 12:13:32.605,162.0,1.7144097089767,4,2
258,86,False,2016-01-04 17:16:30.203,130.0,0.75954860448837,3,1
260,86,False,2016-01-04 21:13:19.002,144.0,0.75954860448837,3,1
262,86,False,2016-01-05 04:42:07.192,202.0,1.8880207538605,4,2
264,86,False,2016-01-05 05:52:54.988,140.0,2.6041665077209,3,2
266,86,False,2016-01-05 07:47:19.590,144.0,1.5407985448837,3,2
268,85,False,2016-01-05 08:48:14.497,141.0,2.4088540077209,3,2
270,85,False,2016-01-05 09:35:46.392,119.0,1.974826335907,3,2
272,86,False,2016-01-05 19:13:39.392,114.0,1.193576335907,3,1
274,87,False,2016-01-06 06:05:18.291,120.0,0.82465273141861,3,1
276,86,False,2016-01-06 07:22:03.690,83.0,0.86805552244186,2,1
278,86,False,2016-01-06 09:39:43.492,31.0,0.95486104488373,1,1
280,86,False,2016-01-06 10:05:21.898,73.0,0.62934023141861,2,1
282,85,False,2016-01-06 10:20:55.192,68.0,0.65104162693024,2,1
284,86,False,2016-01-06 12:11:28.894,81.0,1.193576335907,2,1
286,85,False,2016-01-06 12:39:21.591,92.0,0.69444441795349,2,1
288,86,False,2016-01-06 17:44:41.587,109.0,0.78125,2,1
290,86,False,2016-01-06 18:09:42.986,36.0,1.3020832538605,1,1
292,87,False,2016-01-06 20:52:27.888,97.0,0.30381941795349,2,1
294,87,False,2016-01-07 03:05:47.297,141.0,1.4539929628372,3,1
296,87,False,2016-01-07 07:44:19.787,115.0,2.951388835907,3,2
298,85,False,2016-01-07 07:58:45.400,175.0,3.168402671814,4,2
300,85,False,2016-01-07 08:05:25.907,69.0,1.1501735448837,2,1
302,86,False,2016-01-07 09:02:17.792,163.0,3.0164928436279,4,2
304,86,False,2016-01-07 10:30:09.292,117.0,3.2769095897675,3,2
306,87,False,2016-01-07 13:10:16.995,84.0,1.7361110448837,2,2
308,86,False,2016-01-07 14:22:27.194,137.0,4.5572915077209,3,3
310,86,False,2016-01-07 15:05:48.290,169.0,4.123263835907,4,3
312,86,False,2016-01-07 17:42:15.295,235.0,3.168402671814,5,2
314,88,False,2016-01-08 04:02:17.393,207.0,3.0164928436279,5,2
316,89,False,2016-01-08 09:39:27.590,208.0,2.1267359256744,5,2
